Formula,uid,spacegroup,ehull,bandgap,band,kpath,Rashba_parameter,SS,dE,anticrossing
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,V,M->K,2.431,0.146,0.402,False
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,C,G->M,1.589,0.156,0.0,True
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,C,G->K,1.616,0.154,0.0,True
BrSbTe,f1e78a09001d,P3m1 (156),0.13,1.331,V,M->K,1.315,0.093,0.584,False
BrSbTe,18e62ba75259,P3m1 (156),0.0,1.089,V,G->M,2.631,0.09,0.028,False
BrSbTe,18e62ba75259,P3m1 (156),0.0,1.089,V,G->K,2.454,0.108,0.0,False
ClSbSe,f705a30af945,P3m1 (156),0.146,1.68,V,M->K,1.483,0.118,0.433,False
SSeW,001e03f2c095,P3m1 (156),0.01,1.417,C,G->M,3.284,0.177,0.287,False
SSeW,001e03f2c095,P3m1 (156),0.01,1.417,C,G->K,3.288,0.214,0.041,False
BiBrTe,f4f45fcade85,P3m1 (156),0.117,0.916,V,M->K,0.498,0.094,0.7,False
STeW,75ee10091f43,P3m1 (156),0.086,1.168,C,M->G,2.27,0.268,0.188,False
STeW,75ee10091f43,P3m1 (156),0.086,1.168,C,G->K,3.947,0.142,0.002,False
MoSTe,2ea941c8bc3c,P3m1 (156),0.223,0.196,C,M->K,2.358,0.081,0.288,False
MoSTe,2ea941c8bc3c,P3m1 (156),0.223,0.196,C,G->K,2.525,0.224,0.102,False
ISbTe,0f02957b17cf,P3m1 (156),0.0,0.886,V,G->M,3.658,0.076,0.014,True
ISbTe,0f02957b17cf,P3m1 (156),0.0,0.886,V,G->K,3.526,0.081,0.0,True
Sn2Te2,03bcf7dcdaf2,Pmn2_1 (31),0.063,0.595,C,Y->G,4.804,0.081,0.0,True
SeTeW,6e2a4c6f4f57,P3m1 (156),0.042,1.058,C,M->G,1.394,0.182,0.331,False
S2Sn2,7a8373382b33,Pmn2_1 (31),0.043,1.434,C,Y->G,4.469,0.101,0.0,True
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,V,M->K,0.873,0.113,0.539,False
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,C,G->M,1.271,0.164,0.0,False
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,C,G->K,1.293,0.162,0.0,False
AsClTe,fba4cc0df459,P3m1 (156),0.194,1.316,C,G->K,0.634,0.121,0.34,False
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,V,M->K,1.018,0.15,0.609,False
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,C,M->G,0.711,0.114,0.081,False
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,V,G->M,2.784,0.08,0.022,True
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,V,G->K,2.634,0.082,0.0,True
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,C,G->M,1.366,0.14,0.0,True
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,C,G->K,1.417,0.137,0.0,True
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,G->Y,0.795,0.176,0.0,False
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,Y->G,1.406,0.183,0.0,False
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,Y->H,1.248,0.245,0.133,False
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,C->H,0.491,0.245,0.133,False
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,G->X,0.882,0.112,0.022,False
BiClS,99fd027b1d0b,P3m1 (156),0.12,1.841,C,M->G,0.461,0.224,0.231,False
AsBrS,1dcd471c2288,P3m1 (156),0.034,1.38,V,M->K,3.109,0.125,0.497,False
STeW,916afba26723,P3m1 (156),0.266,0.191,C,M->G,3.622,0.158,0.262,False
STeW,916afba26723,P3m1 (156),0.266,0.191,C,M->K,3.414,0.266,0.281,False
STeW,916afba26723,P3m1 (156),0.266,0.191,C,G->K,0.533,0.118,0.619,False
BiClTe,968a6902b7f5,P3m1 (156),0.0,0.938,V,M->K,1.175,0.208,0.587,False
BiClTe,968a6902b7f5,P3m1 (156),0.0,0.938,C,M->K,0.992,0.113,1.155,False
AsBrTe,671e6de2497a,P3m1 (156),0.163,1.098,C,G->M,0.694,0.079,0.297,False
AsBrTe,671e6de2497a,P3m1 (156),0.163,1.098,C,G->K,0.618,0.142,0.31,False
AsISe,5d829e480507,P3m1 (156),0.0,1.164,V,M->K,1.626,0.153,0.516,False
AsISe,5d829e480507,P3m1 (156),0.0,1.164,C,G->M,1.583,0.116,0.0,False
AsISe,5d829e480507,P3m1 (156),0.0,1.164,C,G->K,1.615,0.113,0.0,True
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,V,G->M,2.682,0.093,0.035,False
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,V,G->K,2.448,0.094,0.0,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,V,M->G,2.891,0.127,0.034,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,V,M->K,2.35,0.149,0.324,False
Cr2W2Te8,62bb754c4cb2,Pm (6),0.082,0.512,V,G->X,1.535,0.211,0.0,False
Cr2W2Te8,62bb754c4cb2,Pm (6),0.082,0.512,V,Y->S,1.105,0.207,0.369,False
Cr2W2Te8,62bb754c4cb2,Pm (6),0.082,0.512,V,G->S,0.686,0.13,0.16,False
Mo2W2Se8,a1d716aad84d,P1 (1),0.0,1.288,V,X->G,1.784,0.313,0.0,True
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,C,G->M,2.065,0.128,0.0,False
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,C,M->K,1.391,0.137,1.113,True
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,C,G->K,2.086,0.127,0.0,False
ZrTi3Se8,52a5e2b280d4,P1 (1),0.131,0.571,V,S->Y,1.091,0.088,0.042,False
ZrTi3Se8,52a5e2b280d4,P1 (1),0.131,0.571,V,S->G,0.48,0.102,0.04,False
BiBrSe,11db0908d9ef,P3m1 (156),0.111,1.385,C,M->G,0.393,0.2,0.413,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,Y->G,2.466,0.226,0.007,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,X->G,2.596,0.223,0.0,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,C,Y->G,1.057,0.135,0.0,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,C,X->G,0.92,0.134,0.002,False
WCr3S8,dc4259e69783,Pmm2 (25),0.009,0.887,V,X->G,1.317,0.119,0.0,False
Cr2Mo2Te8,988b11badabb,P1 (1),0.067,0.575,V,X->G,1.105,0.139,0.0,False
Cr2Mo2Te8,988b11badabb,P1 (1),0.067,0.575,V,Y->S,0.842,0.097,0.285,False
Cr2Mo2Te8,988b11badabb,P1 (1),0.067,0.575,V,G->S,0.735,0.095,0.123,False
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,C,G->M,1.17,0.101,0.195,False
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,C,G->K,0.954,0.122,0.195,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,G->Y,1.814,0.139,0.001,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,Y->G,1.725,0.091,0.066,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,X->G,1.692,0.091,0.065,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,G->X,1.809,0.133,0.0,False
HgTe,1a3bdd1b142a,P3m1 (156),0.165,0.132,V,G->M,0.501,0.107,0.01,False
HgTe,1a3bdd1b142a,P3m1 (156),0.165,0.132,V,G->K,0.618,0.104,0.009,False
BiBrTe,304bc6a92d82,P3m1 (156),0.0,0.878,V,M->K,1.13,0.112,0.502,True
BiBrTe,304bc6a92d82,P3m1 (156),0.0,0.878,C,M->K,1.08,0.117,1.162,True
MoW3S8,2f6f133abcc8,P1 (1),0.0,1.552,V,X->G,2.241,0.354,0.0,False
MoW3S8,2f6f133abcc8,P1 (1),0.0,1.552,C,S->Y,1.202,0.083,0.093,True
BiClSe,7fe9c5cb910c,P3m1 (156),0.119,1.601,V,M->K,0.679,0.11,0.399,False
BiClSe,7fe9c5cb910c,P3m1 (156),0.119,1.601,C,M->G,0.746,0.33,0.27,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,V,X->G,1.501,0.234,0.0,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,V,G->S,1.292,0.21,0.192,False
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,V,M->K,2.033,0.22,0.442,False
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,C,G->M,1.305,0.151,0.0,False
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,C,G->K,1.353,0.147,0.0,True
AsITe,114b3382699c,P3m1 (156),0.162,0.416,C,G->M,0.502,0.145,0.259,False
AsITe,114b3382699c,P3m1 (156),0.162,0.416,C,G->K,0.579,0.166,0.221,False
WCr3Se8,c798e725e2fb,P1 (1),0.009,0.698,V,X->G,1.16,0.14,0.0,False
BiIS,acdcd16c0d76,P3m1 (156),0.014,1.139,V,M->K,1.707,0.166,0.244,True
