Formula,uid,kpath,Rashba_parameter,band_binary,bandgap,ehull,kpath_real_distance,kpath_angle_deg,kvec_x,kvec_y,kvec_z,kstart_frac_x,kstart_frac_y,kstart_frac_z,kend_frac_x,kend_frac_y,kend_frac_z,kmid_frac_x,kmid_frac_y,kmid_frac_z,kstart_degeneracy,kend_degeneracy,kpath_interior_degeneracy,kpath_total_weight,start_nearest_dist,start_nearest_Z,start_nearest_mass,start_nearest_Z4,start_coord_2A,start_rdf_sum_2A,start_rdf_Z_2A,start_rdf_Z4_2A,start_rdf_mass_2A,start_mean_Z_2A,start_max_Z_2A,start_coord_4A,start_rdf_sum_4A,start_rdf_Z_4A,start_rdf_Z4_4A,start_rdf_mass_4A,start_mean_Z_4A,start_max_Z_4A,start_adf_mean,start_adf_std,start_adf_min,start_adf_max,start_adf_n_triplets,mid_nearest_dist,mid_nearest_Z,mid_nearest_mass,mid_nearest_Z4,mid_coord_2A,mid_rdf_sum_2A,mid_rdf_Z_2A,mid_rdf_Z4_2A,mid_rdf_mass_2A,mid_mean_Z_2A,mid_max_Z_2A,mid_coord_4A,mid_rdf_sum_4A,mid_rdf_Z_4A,mid_rdf_Z4_4A,mid_rdf_mass_4A,mid_mean_Z_4A,mid_max_Z_4A,mid_adf_mean,mid_adf_std,mid_adf_min,mid_adf_max,mid_adf_n_triplets,end_nearest_dist,end_nearest_Z,end_nearest_mass,end_nearest_Z4,end_coord_2A,end_rdf_sum_2A,end_rdf_Z_2A,end_rdf_Z4_2A,end_rdf_mass_2A,end_mean_Z_2A,end_max_Z_2A,end_coord_4A,end_rdf_sum_4A,end_rdf_Z_4A,end_rdf_Z4_4A,end_rdf_mass_4A,end_mean_Z_4A,end_max_Z_4A,end_adf_mean,end_adf_std,end_adf_min,end_adf_max,end_adf_n_triplets,max_Z,max_Z4,max_mass,min_mass,radius_mean,radius_diff,X_mean,X_diff,n_elements,mean_Z,sum_Z4,E_pfrac_VBM,E_pfrac_CBM,E_pfrac_relevant
ISbSe,df0019ec24b5,M->K,2.431,0,1.061,0.0,0.5025132594315503,120.00000004774289,-0.2512566300784055,0.435189248196878,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.41666666666666663,0.16666666666666666,0.0,3,6,12,21,7.946187736426214,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.089121864407302,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.976491984490541,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.8444249438246081,0.8702194028528185,0.8444249438246081
ISbSe,df0019ec24b5,G->M,1.589,1,1.061,0.0,0.870378498346051,30.000000031626122,0.7537698902352165,0.43518924958909133,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,1,3,6,10,8.21490249896696,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.014211155154984,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.946187736426214,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.8444249438246081,0.8702194028528185,0.8702194028528185
ISbSe,df0019ec24b5,G->K,1.616,1,1.061,0.0,1.0050265200687927,59.99999999194163,0.502513260156811,0.8703784977859693,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1,6,12,19,8.21490249896696,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.066721694699096,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.976491984490541,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.8444249438246081,0.8702194028528185,0.8702194028528185
BrSbTe,f1e78a09001d,M->K,1.315,0,1.331,0.13,0.5094793582155445,120.00000004255001,-0.2547396794354405,0.4412220667292743,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.41666666666666663,0.16666666666666666,0.0,3,6,12,21,7.3032152355480475,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.2629317671392775,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.3352827311906434,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.882771812071691,0.9164275283284804,0.882771812071691
BrSbTe,18e62ba75259,G->M,2.631,0,1.089,0.0,0.8565291377334029,30.000000064766162,0.7417759918746044,0.42826456970519217,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,1,3,6,10,8.34939374743614,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.145499031658902,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.076390321708708,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.83517716605127,0.8451200771706139,0.83517716605127
BrSbTe,18e62ba75259,G->K,2.454,0,1.089,0.0,0.9890346566015895,60.00000002571311,0.4945173279164029,0.8565291380621239,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1,6,12,19,8.34939374743614,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.19884752750096,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,8.107178033340073,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.83517716605127,0.8451200771706139,0.83517716605127
ClSbSe,f705a30af945,M->K,1.483,0,1.68,0.146,0.5345228435310069,119.99999996677256,-0.26726142149704857,0.46291036155593906,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.41666666666666663,0.16666666666666666,0.0,3,6,12,21,7.434291214597239,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.398351579762957,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.462918308640804,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.8438826392372596,0.9143032462366278,0.8438826392372596
SSeW,001e03f2c095,G->M,3.284,1,1.417,0.01,1.1154489482335206,30.00000005146582,0.9660071252938872,0.5577244749844742,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,1,3,6,10,7.722400993674532,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.59291752626554,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.549262858473302,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.224009385476083,0.1944202818853834,0.1944202818853834
SSeW,001e03f2c095,G->K,3.288,1,1.417,0.01,1.2880095023957492,60.000000051465825,0.6440047501959247,1.1154489499689486,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1,6,12,19,7.722400993674532,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.6266984049651985,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.568696018545476,3,6.941,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.224009385476083,0.1944202818853834,0.1944202818853834
BiBrTe,f4f45fcade85,M->K,0.498,0,0.916,0.117,0.4960869002361393,120.00000005740532,-0.2480434505485149,0.42962385784065543,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.41666666666666663,0.16666666666666666,0.0,3,6,12,21,7.288398902819076,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.24581773312634,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,7.322285554431851,2,4.002602,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,81,6.941,1.00794,0.9,1.2,,,3,2.0,98,0.9275593381609089,0.9381112972308486,0.9275593381609089
