Formula,uid,kpath,E_pfrac_relevant,ehull,pmid_afs_gauss_std,kpath_angle_deg,kstart_frac_y,band_binary,Rashba_parameter
ISbSe,df0019ec24b5,M->K,0.8444249438246081,0.0,0.001885196535515,120.00000004774289,0.0,0,2.431
ISbSe,df0019ec24b5,G->M,0.8702194028528185,0.0,0.001885196535515,30.00000003162612,0.0,1,1.589
ISbSe,df0019ec24b5,G->K,0.8702194028528185,0.0,0.001885196535515,59.99999999194163,0.0,1,1.616
BrSbTe,f1e78a09001d,M->K,0.882771812071691,0.13,0.0076894500190178,120.00000004255,0.0,0,1.315
BrSbTe,18e62ba75259,G->M,0.83517716605127,0.0,0.0012738027321976,30.00000006476616,0.0,0,2.631
BrSbTe,18e62ba75259,G->K,0.83517716605127,0.0,0.0012738027321976,60.00000002571311,0.0,0,2.454
ClSbSe,f705a30af945,M->K,0.8438826392372596,0.146,0.0122234655218269,119.99999996677256,0.0,0,1.483
SSeW,001e03f2c095,G->M,0.1944202818853834,0.01,0.0087597024110115,30.00000005146582,0.0,1,3.284
SSeW,001e03f2c095,G->K,0.1944202818853834,0.01,0.0087597024110115,60.00000005146583,0.0,1,3.288
BiBrTe,f4f45fcade85,M->K,0.9275593381609089,0.117,0.0065832957009888,120.00000005740532,0.0,0,0.498
STeW,75ee10091f43,M->G,0.1498061527142361,0.086,0.0050494758077243,-149.9999999351806,0.0,1,2.27
STeW,75ee10091f43,G->K,0.1498061527142361,0.086,0.0050494758077243,60.00000001562721,0.0,1,3.947
MoSTe,2ea941c8bc3c,M->K,0.2434765337283689,0.223,0.0411535149851004,120.00000005687724,0.0,1,2.358
MoSTe,2ea941c8bc3c,G->K,0.2434765337283689,0.223,0.0411535149851004,59.99999999294942,0.0,1,2.525
ISbTe,0f02957b17cf,G->M,0.848391125348033,0.0,0.0014178093338184,30.00000003954003,0.0,0,3.658
ISbTe,0f02957b17cf,G->K,0.848391125348033,0.0,0.0014178093338184,60.000000039540026,0.0,0,3.526
Sn2Te2,03bcf7dcdaf2,Y->G,0.8358953535587912,0.063,0.0081265395134707,-90.0,0.5,1,4.804
SeTeW,6e2a4c6f4f57,M->G,0.1379246426011634,0.042,0.0046657804929235,-150.0000000328296,0.0,1,1.394
S2Sn2,7a8373382b33,Y->G,0.8186754780085288,0.043,0.0506262881642868,-90.0,0.5,1,4.469
SeSn,d59c96fdfda1,M->K,0.8617318463089176,0.098,0.0,119.9999999735,0.0,0,0.873
BiBrS,49b7be14f786,G->M,0.9145043455561068,0.0,0.0011259988292006,30.0000000011179,0.0,1,1.271
BiBrS,49b7be14f786,G->K,0.9145043455561068,0.0,0.0011259988292006,60.00000000111791,0.0,1,1.293
AsClTe,fba4cc0df459,G->K,0.9136992993085054,0.194,0.0126639581169268,59.99999995613801,0.0,1,0.634
ClSbTe,04fdd7d1ec5c,M->K,0.8840911585585108,0.153,0.0100747508086987,120.00000002401246,0.0,0,1.018
ClSbTe,04fdd7d1ec5c,M->G,0.92019295831051,0.153,0.0100747508086987,-150.00000002401245,0.0,1,0.711
BiBrSe,de5756e4fbfa,G->M,0.8708858861095728,0.0,0.0012482141592709,29.999999951474244,0.0,0,2.784
BiBrSe,de5756e4fbfa,G->K,0.8708858861095728,0.0,0.0012482141592709,59.99999995147424,0.0,0,2.634
BiBrSe,de5756e4fbfa,G->M,0.9086603729103896,0.0,0.0012482141592709,29.999999951474244,0.0,1,1.366
BiBrSe,de5756e4fbfa,G->K,0.9086603729103896,0.0,0.0012482141592709,59.99999995147424,0.0,1,1.417
Bi2P2S6,287dcf4f1a19,G->Y,0.9027750754848928,0.053,1.1826912139634342,90.00000000000001,0.0,1,0.795
Bi2P2S6,287dcf4f1a19,Y->G,0.9027750754848928,0.053,1.1826912139634342,-90.0,0.5,1,1.406
Bi2P2S6,287dcf4f1a19,Y->H,0.9027750754848928,0.053,1.1826912139634342,0.0,0.5,1,1.248
Bi2P2S6,287dcf4f1a19,C->H,0.9027750754848928,0.053,1.1826912139634342,-121.804737478175,0.5,1,0.491
Bi2P2S6,287dcf4f1a19,G->X,0.9027750754848928,0.053,1.1826912139634342,28.258580294896905,0.0,1,0.882
BiClS,99fd027b1d0b,M->G,0.9372956282273632,0.12,0.0127492878351768,-149.99999999570173,0.0,1,0.461
AsBrS,1dcd471c2288,M->K,0.81239137651136,0.034,0.0107868522702546,119.99999998528736,0.0,0,3.109
STeW,916afba26723,M->G,0.3590873032806925,0.266,0.0408814073123662,-149.9999999785103,0.0,1,3.622
STeW,916afba26723,M->K,0.3590873032806925,0.266,0.0408814073123662,120.00000007800152,0.0,1,3.414
STeW,916afba26723,G->K,0.3590873032806925,0.266,0.0408814073123662,59.9999999717441,0.0,1,0.533
BiClTe,968a6902b7f5,M->K,0.901195181671016,0.0,0.0007074822080398,119.99999995915002,0.0,0,1.175
BiClTe,968a6902b7f5,M->K,0.9106283567992832,0.0,0.0007074822080398,119.99999995915002,0.0,1,0.992
AsBrTe,671e6de2497a,G->M,0.909375314729425,0.163,0.0109743048528379,29.999999954309573,0.0,1,0.694
AsBrTe,671e6de2497a,G->K,0.909375314729425,0.163,0.0109743048528379,59.99999999707302,0.0,1,0.618
AsISe,5d829e480507,M->K,0.8922939066570377,0.0,0.0044688300315145,120.00000000009142,0.0,0,1.626
