Formula,uid,kpath,E_pfrac_relevant,mid_adf_n_triplets,start_adf_min,mid_nearest_Z,start_adf_mean,kpath_angle_deg,mid_nearest_Z4,n_elements,Rashba_parameter
ISbSe,df0019ec24b5,M->K,0.8444249438246081,3,59.51967001533913,51,78.97783223643863,120.00000004774289,6765201,3,2.431
ISbSe,df0019ec24b5,G->M,0.8702194028528185,3,55.05771217134514,51,91.7146997579668,30.00000003162612,6765201,3,1.589
ISbSe,df0019ec24b5,G->K,0.8702194028528185,3,55.05771217134514,51,91.7146997579668,59.99999999194163,6765201,3,1.616
BrSbTe,f1e78a09001d,M->K,0.882771812071691,3,88.6778354785124,51,98.75034458282664,120.00000004255,6765201,3,1.315
BrSbTe,18e62ba75259,G->M,0.83517716605127,3,54.5174899860988,51,90.3089908133112,30.00000006476616,6765201,3,2.631
BrSbTe,18e62ba75259,G->K,0.83517716605127,3,54.5174899860988,51,90.3089908133112,60.00000002571311,6765201,3,2.454
ClSbSe,f705a30af945,M->K,0.8438826392372596,3,88.29881787463518,51,98.21666915462,119.99999996677256,6765201,3,1.483
SSeW,001e03f2c095,G->M,0.1944202818853834,3,49.632602197065765,74,87.59452915965313,30.00000005146582,29986576,3,3.284
SSeW,001e03f2c095,G->K,0.1944202818853834,3,49.632602197065765,74,87.59452915965313,60.00000005146583,29986576,3,3.288
BiBrTe,f4f45fcade85,M->K,0.9275593381609089,3,88.8116318948785,83,98.45963980094427,120.00000005740532,47458321,3,0.498
STeW,75ee10091f43,M->G,0.1498061527142361,3,85.87162067145343,74,100.14489004738876,-149.9999999351806,29986576,3,2.27
STeW,75ee10091f43,G->K,0.1498061527142361,3,50.07603824035597,74,88.19570910399396,60.00000001562721,29986576,3,3.947
MoSTe,2ea941c8bc3c,M->K,0.2434765337283689,3,62.33208397138081,42,82.79008656810281,120.00000005687724,3111696,3,2.358
MoSTe,2ea941c8bc3c,G->K,0.2434765337283689,3,49.29692176339122,42,94.37019580331162,59.99999999294942,3111696,3,2.525
ISbTe,0f02957b17cf,G->M,0.848391125348033,3,54.283774065183806,51,91.22848127018084,30.00000003954003,6765201,3,3.658
ISbTe,0f02957b17cf,G->K,0.848391125348033,3,54.283774065183806,51,91.22848127018084,60.000000039540026,6765201,3,3.526
Sn2Te2,03bcf7dcdaf2,Y->G,0.8358953535587912,6,56.22259051655726,50,74.52782822067705,-90.0,6250000,2,4.804
SeTeW,6e2a4c6f4f57,M->G,0.1379246426011634,3,87.65537041168875,74,100.29571910339202,-150.0000000328296,29986576,3,1.394
S2Sn2,7a8373382b33,Y->G,0.8186754780085288,6,52.6885963324874,16,73.47796285657061,-90.0,65536,2,4.469
SeSn,d59c96fdfda1,M->K,0.8617318463089176,1,62.73794164394142,50,62.73794164394142,119.9999999735,6250000,2,0.873
