Formula,uid,kpath,mid_adf_max,E_pfrac_relevant,mid_nearest_Z,end_adf_n_triplets,start_adf_mean,start_adf_std,band_binary,Rashba_parameter
ISbSe,df0019ec24b5,M->K,122.6885158385444,0.8444249438246081,51,3,78.97783223643863,14.048572119303811,0,2.431
ISbSe,df0019ec24b5,G->M,107.13633041841004,0.8702194028528185,51,3,91.7146997579668,29.871632039689107,1,1.589
ISbSe,df0019ec24b5,G->K,135.59100795382255,0.8702194028528185,51,3,91.7146997579668,29.871632039689107,1,1.616
BrSbTe,f1e78a09001d,M->K,129.1809221433757,0.882771812071691,51,3,98.75034458282664,12.414570895644896,0,1.315
BrSbTe,18e62ba75259,G->M,115.40369281470775,0.83517716605127,51,3,90.3089908133112,29.11956325295105,0,2.631
BrSbTe,18e62ba75259,G->K,124.86453779658224,0.83517716605127,51,3,90.3089908133112,29.11956325295105,0,2.454
ClSbSe,f705a30af945,M->K,127.78472670821807,0.8438826392372596,51,3,98.21666915462,11.689983505309828,0,1.483
SSeW,001e03f2c095,G->M,116.71497027984852,0.1944202818853834,74,3,87.59452915965313,33.63212476435447,1,3.284
SSeW,001e03f2c095,G->K,124.99991132930415,0.1944202818853834,74,3,87.59452915965313,33.63212476435447,1,3.288
BiBrTe,f4f45fcade85,M->K,128.42760215455752,0.9275593381609089,83,3,98.45963980094427,11.99683687825173,0,0.498
STeW,75ee10091f43,M->G,120.92326042663572,0.1498061527142361,74,3,100.14489004738876,14.68643346835295,1,2.27
STeW,75ee10091f43,G->K,131.2046275944971,0.1498061527142361,74,3,88.19570910399396,33.83030575806715,1,3.947
MoSTe,2ea941c8bc3c,M->K,129.24038287734683,0.2434765337283689,42,3,82.79008656810281,16.00728943768749,1,2.358
MoSTe,2ea941c8bc3c,G->K,133.75058125950082,0.2434765337283689,42,3,94.37019580331162,34.68614113342616,1,2.525
ISbTe,0f02957b17cf,G->M,111.04283239066878,0.848391125348033,51,3,91.22848127018084,29.89253933008562,0,3.658
ISbTe,0f02957b17cf,G->K,129.99862409448153,0.848391125348033,51,3,91.22848127018084,29.89253933008562,0,3.526
Sn2Te2,03bcf7dcdaf2,Y->G,115.3093883804084,0.8358953535587912,50,6,74.52782822067705,15.967194831138604,1,4.804
SeTeW,6e2a4c6f4f57,M->G,117.4786668140697,0.1379246426011634,74,3,100.29571910339202,14.668344096195732,1,1.394
S2Sn2,7a8373382b33,Y->G,113.59892781404857,0.8186754780085288,16,6,73.47796285657061,16.06461681618216,1,4.469
SeSn,d59c96fdfda1,M->K,100.94718250744695,0.8617318463089176,50,1,62.73794164394142,0.0,0,0.873
BiBrS,49b7be14f786,G->M,109.00275436012576,0.9145043455561068,83,3,90.9826687583123,28.76909075417999,1,1.271
BiBrS,49b7be14f786,G->K,134.93528226248068,0.9145043455561068,83,3,90.9826687583123,28.76909075417999,1,1.293
AsClTe,fba4cc0df459,G->K,122.99927499172996,0.9136992993085054,33,3,85.58910029860533,31.880727839396744,1,0.634
ClSbTe,04fdd7d1ec5c,M->K,127.59012145386676,0.8840911585585108,51,3,98.1349614217072,11.505510617140033,0,1.018
ClSbTe,04fdd7d1ec5c,M->G,115.48989202745412,0.92019295831051,51,3,98.1349614217072,11.505510617140033,1,0.711
BiBrSe,de5756e4fbfa,G->M,111.53556268839333,0.8708858861095728,83,3,90.77662191403734,29.05123133306208,0,2.784
BiBrSe,de5756e4fbfa,G->K,130.79627609259225,0.8708858861095728,83,3,90.77662191403734,29.05123133306208,0,2.634
BiBrSe,de5756e4fbfa,G->M,111.53556268839333,0.9086603729103896,83,3,90.77662191403734,29.05123133306208,1,1.366
BiBrSe,de5756e4fbfa,G->K,130.79627609259225,0.9086603729103896,83,3,90.77662191403734,29.05123133306208,1,1.417
Bi2P2S6,287dcf4f1a19,G->Y,134.48688304465404,0.9027750754848928,16,45,55.14865774423286,26.91007766047083,1,0.795
Bi2P2S6,287dcf4f1a19,Y->G,134.48688304465404,0.9027750754848928,16,45,40.219077811514815,18.10682449327063,1,1.406
Bi2P2S6,287dcf4f1a19,Y->H,164.3622829217308,0.9027750754848928,83,45,40.219077811514815,18.10682449327063,1,1.248
Bi2P2S6,287dcf4f1a19,C->H,150.40828232092653,0.9027750754848928,16,45,85.95423952877191,36.45979742470595,1,0.491
Bi2P2S6,287dcf4f1a19,G->X,148.23395455802108,0.9027750754848928,83,45,55.14865774423286,26.91007766047083,1,0.882
BiClS,99fd027b1d0b,M->G,120.91138768505044,0.9372956282273632,83,3,97.73798226392977,11.16842727466377,1,0.461
AsBrS,1dcd471c2288,M->K,122.12765711783126,0.81239137651136,33,3,78.69466938387559,14.141673145118244,0,3.109
STeW,916afba26723,M->G,108.81975024737326,0.3590873032806925,74,3,82.7631082945379,16.042988751532192,1,3.622
STeW,916afba26723,M->K,129.17977496128145,0.3590873032806925,74,3,82.7631082945379,16.042988751532192,1,3.414
STeW,916afba26723,G->K,133.47559898596583,0.3590873032806925,74,3,94.33079722859355,34.654267472567,1,0.533
BiClTe,968a6902b7f5,M->K,119.41408430210276,0.901195181671016,83,3,77.62498333598852,17.114917020622546,0,1.175
BiClTe,968a6902b7f5,M->K,119.41408430210276,0.9106283567992832,83,3,77.62498333598852,17.114917020622546,1,0.992
AsBrTe,671e6de2497a,G->M,117.83772098525534,0.909375314729425,33,3,86.45198127633358,32.45531013957142,1,0.694
AsBrTe,671e6de2497a,G->K,126.37498414712675,0.909375314729425,33,3,86.45198127633358,32.45531013957142,1,0.618
AsISe,5d829e480507,M->K,122.43403623929248,0.8922939066570377,33,3,78.83002552040381,13.96697611085872,0,1.626
AsISe,5d829e480507,G->M,107.251878557034,0.8797309545139917,33,3,91.62125302767264,29.69320941562922,1,1.583
AsISe,5d829e480507,G->K,135.73862029708442,0.8797309545139917,33,3,91.62125302767264,29.69320941562922,1,1.615
ClSbSe,0c0fbdaf8f4a,G->M,114.94601344146884,0.7943110472668419,51,3,90.0702392476707,28.496997955137434,0,2.682
ClSbSe,0c0fbdaf8f4a,G->K,126.72358756503998,0.7943110472668419,51,3,90.0702392476707,28.496997955137434,0,2.448
ClSbTe,da5fd2bb47af,M->G,119.07557144053608,0.8418724917890628,51,3,77.77817776078729,17.16310536610893,0,2.891
ClSbTe,da5fd2bb47af,M->K,119.21624527438446,0.8418724917890628,51,3,77.77817776078729,17.16310536610893,0,2.35
Cr2W2Te8,62bb754c4cb2,G->X,178.04364241830234,0.2157043936857912,24,66,45.02987436686868,19.823612472674487,0,1.535
Cr2W2Te8,62bb754c4cb2,Y->S,161.61976533891018,0.2157043936857912,74,66,67.99451625329183,31.699294864191323,0,1.105
Cr2W2Te8,62bb754c4cb2,G->S,162.71901033041507,0.2157043936857912,74,66,45.02987436686868,19.823612472674487,0,0.686
Mo2W2Se8,a1d716aad84d,X->G,179.99022114510112,0.2050796246622059,42,66,64.81761283461408,31.3542108600974,0,1.784
BiITe,2d41b3dd1772,G->M,111.15619887361986,0.919259222337323,83,3,91.1557326480521,29.766367107590124,1,2.065
BiITe,2d41b3dd1772,M->K,122.17071337895877,0.919259222337323,83,3,78.92374450307214,15.322013735484278,1,1.391
BiITe,2d41b3dd1772,G->K,130.05836453926267,0.919259222337323,83,3,91.1557326480521,29.766367107590124,1,2.086
