features,indices,n_feat,cv5_r2
pmid_grdf_trig_max,"(85,)",1,0.08064082270635572
pend_grdf_trig_max,"(43,)",1,0.025945208605300474
kend_degen,"(8,)",1,-0.05596151581274698
E_pfrac_relevant,"(2,)",1,-0.0631167479730976
kpath_angle_deg,"(14,)",1,-0.07438503449794046
kend_frac_y,"(10,)",1,-0.0750279058191858
pline_grdf_gauss_max,"(57,)",1,-0.0780408266246048
pline_plane_heavy_frac,"(64,)",1,-0.07922161115597956
pline_grdf_trig_max,"(60,)",1,-0.08533418145324964
kmid_frac_x,"(12,)",1,-0.08537166282238715
kvec_z,"(22,)",1,-0.08880316878107293
pline_grdf_gauss_std,"(59,)",1,-0.08911930459546366
pline_grdf_trig_mean,"(61,)",1,-0.08940550177454157
pline_n_atoms_on_plane,"(63,)",1,-0.08954250418441627
pline_grdf_bessel_std,"(56,)",1,-0.09116025058854042
kend_frac_x,"(9,)",1,-0.0917179456966775
pend_grdf_trig_mean,"(44,)",1,-0.09439261131507068
kinterior_degen,"(11,)",1,-0.10115688962394734
kmid_frac_y,"(13,)",1,-0.10236158319183083
pline_plane_max_mass,"(66,)",1,-0.1035149969295023
plane_angle_deg,"(53,)",1,-0.10529572467201438
pmid_grdf_trig_mean,"(86,)",1,-0.10577235732994024
ktotal_weight,"(19,)",1,-0.1061717471610643
pline_plane_max_Z,"(65,)",1,-0.10788536541210192
band_binary,"(5,)",1,-0.11155350332486624
pend_plane_heavy_frac,"(47,)",1,-0.11189658959682136
pline_grdf_trig_std,"(62,)",1,-0.11279488966851073
pline_plane_mean_Z,"(67,)",1,-0.1167694359558304
n_elements,"(27,)",1,-0.12061219048353992
kstart_degen,"(16,)",1,-0.12188947406147607
kstart_frac_y,"(18,)",1,-0.12227921799882738
pline_plane_mean_mass,"(68,)",1,-0.13018239755645997
pmid_afs_gauss_mean,"(74,)",1,-0.13067708416083923
pmid_grdf_gauss_std,"(84,)",1,-0.1311191658233781
pend_grdf_gauss_std,"(42,)",1,-0.1331046374281756
pmid_afs_bessel_mean,"(71,)",1,-0.1334463905495366
pmid_plane_heavy_frac,"(89,)",1,-0.1339324602195461
pstart_grdf_trig_max,"(110,)",1,-0.13505517618022223
kstart_frac_x,"(17,)",1,-0.1392172285274576
pline_grdf_gauss_mean,"(58,)",1,-0.13943926629431957
pmid_grdf_bessel_std,"(81,)",1,-0.14287179763337235
pstart_plane_heavy_frac,"(114,)",1,-0.14596472659451365
pend_afs_bessel_mean,"(29,)",1,-0.14625721009278542
pend_afs_gauss_mean,"(32,)",1,-0.16245199254463252
pline_plane_sum_Z4,"(69,)",1,-0.1663514841910617
pline_grdf_bessel_max,"(54,)",1,-0.16853376503894477
pstart_afs_trig_std,"(103,)",1,-0.17006719817146596
pline_grdf_bessel_mean,"(55,)",1,-0.1762678508658701
max_mass,"(25,)",1,-0.1830274049797199
pmid_plane_max_mass,"(91,)",1,-0.1830274049797199
pend_plane_max_mass,"(49,)",1,-0.1830274049797199
pstart_plane_max_mass,"(116,)",1,-0.1830274049797199
pmid_grdf_gauss_max,"(82,)",1,-0.18676875791396566
pmid_afs_trig_mean,"(77,)",1,-0.18906015098574414
max_Z,"(23,)",1,-0.19337853348301232
pend_plane_max_Z,"(48,)",1,-0.19337853348301232
pstart_plane_max_Z,"(115,)",1,-0.19337853348301232
pmid_plane_max_Z,"(90,)",1,-0.19337853348301232
max_Z4,"(24,)",1,-0.19337853348301232
pstart_afs_bessel_mean,"(96,)",1,-0.20513203611539885
pend_afs_trig_std,"(36,)",1,-0.20812756161131168
sum_Z4,"(122,)",1,-0.21512257357463432
