features,feat_list,indices,n_feat,cv5_r2
E_pfrac_relevant + start_adf_mean,"E_pfrac_relevant,start_adf_mean","(2, 53)",2,0.185933524500739
kpath_angle_deg + start_adf_mean,"kpath_angle_deg,start_adf_mean","(24, 53)",2,0.17847677744490004
kvec_x + start_adf_mean,"kvec_x,start_adf_mean","(32, 53)",2,0.15782923019040265
E_pfrac_relevant + mid_adf_max,"E_pfrac_relevant,mid_adf_max","(2, 39)",2,0.1578164925441809
E_pfrac_relevant + mid_adf_std,"E_pfrac_relevant,mid_adf_std","(2, 43)",2,0.14428997987682457
kmid_frac_x + start_adf_mean,"kmid_frac_x,start_adf_mean","(21, 53)",2,0.13720148267071963
kpath_angle_deg + start_adf_max,"kpath_angle_deg,start_adf_max","(24, 52)",2,0.1278152777145697
mid_adf_std + start_adf_max,"mid_adf_std,start_adf_max","(43, 52)",2,0.12306952586522005
kpath_angle_deg + mid_adf_max,"kpath_angle_deg,mid_adf_max","(24, 39)",2,0.12263559570784817
end_adf_max + start_adf_max,"end_adf_max,start_adf_max","(8, 52)",2,0.1215520244052237
E_pfrac_relevant + X_mean,"E_pfrac_relevant,X_mean","(2, 4)",2,0.12088532807859605
end_adf_max + mid_adf_max,"end_adf_max,mid_adf_max","(8, 39)",2,0.1171583497360547
mid_adf_max + start_adf_max,"mid_adf_max,start_adf_max","(39, 52)",2,0.11400467615518477
kend_frac_x + start_adf_mean,"kend_frac_x,start_adf_mean","(18, 53)",2,0.1137734603365674
kend_degeneracy + mid_adf_max,"kend_degeneracy,mid_adf_max","(17, 39)",2,0.11344891339606258
kend_frac_x + start_adf_max,"kend_frac_x,start_adf_max","(18, 52)",2,0.1099843661227139
kpath_total_weight + start_adf_mean,"kpath_total_weight,start_adf_mean","(27, 53)",2,0.10971882725086828
E_pfrac_relevant + end_adf_max,"E_pfrac_relevant,end_adf_max","(2, 8)",2,0.1069880304240941
kend_frac_y + start_adf_max,"kend_frac_y,start_adf_max","(19, 52)",2,0.10610804833101235
E_pfrac_relevant + mid_adf_mean,"E_pfrac_relevant,mid_adf_mean","(2, 40)",2,0.10477333414256022
E_pfrac_relevant + kpath_total_weight,"E_pfrac_relevant,kpath_total_weight","(2, 27)",2,0.10374933054797872
end_adf_max + start_adf_mean,"end_adf_max,start_adf_mean","(8, 53)",2,0.10294750558215
E_pfrac_relevant + kend_degeneracy,"E_pfrac_relevant,kend_degeneracy","(2, 17)",2,0.09873324697723793
E_pfrac_relevant + kpath_interior_degeneracy,"E_pfrac_relevant,kpath_interior_degeneracy","(2, 25)",2,0.09732859274883054
end_adf_max + kend_degeneracy,"end_adf_max,kend_degeneracy","(8, 17)",2,0.09692672254743007
E_pfrac_relevant + kpath_angle_deg,"E_pfrac_relevant,kpath_angle_deg","(2, 24)",2,0.09536462592208753
E_pfrac_relevant + start_adf_max,"E_pfrac_relevant,start_adf_max","(2, 52)",2,0.09266894496335254
kpath_interior_degeneracy + start_adf_mean,"kpath_interior_degeneracy,start_adf_mean","(25, 53)",2,0.08872581132353567
mid_adf_max + start_adf_mean,"mid_adf_max,start_adf_mean","(39, 53)",2,0.08662975611409751
kend_degeneracy + start_adf_mean,"kend_degeneracy,start_adf_mean","(17, 53)",2,0.08466805514454971
E_pfrac_relevant + start_adf_min,"E_pfrac_relevant,start_adf_min","(2, 54)",2,0.08428114894986438
kmid_frac_x + start_adf_max,"kmid_frac_x,start_adf_max","(21, 52)",2,0.0804261000603288
min_mass + start_adf_max,"min_mass,start_adf_max","(48, 52)",2,0.07412818431992649
kend_frac_y + start_adf_mean,"kend_frac_y,start_adf_mean","(19, 53)",2,0.07376265205569617
end_adf_mean + start_adf_max,"end_adf_mean,start_adf_max","(9, 52)",2,0.0716696341199223
E_pfrac_CBM + mid_adf_std,"E_pfrac_CBM,mid_adf_std","(0, 43)",2,0.07119996496178978
band_binary + mid_adf_max,"band_binary,mid_adf_max","(5, 39)",2,0.07038402434658053
E_pfrac_relevant + kmid_frac_y,"E_pfrac_relevant,kmid_frac_y","(2, 22)",2,0.06951574489294146
E_pfrac_relevant + start_adf_std,"E_pfrac_relevant,start_adf_std","(2, 56)",2,0.06929061069647206
X_diff + start_adf_mean,"X_diff,start_adf_mean","(3, 53)",2,0.06902046918995082
start_adf_mean + sum_Z4,"start_adf_mean,sum_Z4","(53, 61)",2,0.06899585328216673
E_pfrac_relevant + kend_frac_y,"E_pfrac_relevant,kend_frac_y","(2, 19)",2,0.06711140817698427
