features,feat_list,indices,n_feat,cv5_r2
E_pfrac_relevant + start_adf_min + start_adf_n_triplets,"E_pfrac_relevant,start_adf_min,start_adf_n_triplets","(2, 54, 55)",3,0.3502375757578614
E_pfrac_relevant + mid_adf_n_triplets + start_adf_min,"E_pfrac_relevant,mid_adf_n_triplets,start_adf_min","(2, 42, 54)",3,0.3431739836830495
E_pfrac_relevant + end_adf_n_triplets + start_adf_min,"E_pfrac_relevant,end_adf_n_triplets,start_adf_min","(2, 11, 54)",3,0.3431739836830495
E_pfrac_relevant + kpath_angle_deg + start_adf_mean,"E_pfrac_relevant,kpath_angle_deg,start_adf_mean","(2, 24, 53)",3,0.34193944066883963
E_pfrac_relevant + end_adf_n_triplets + mid_adf_max,"E_pfrac_relevant,end_adf_n_triplets,mid_adf_max","(2, 11, 39)",3,0.3294358195603178
E_pfrac_relevant + start_adf_max + start_adf_n_triplets,"E_pfrac_relevant,start_adf_max,start_adf_n_triplets","(2, 52, 55)",3,0.32518868789512645
E_pfrac_relevant + mid_adf_n_triplets + start_adf_max,"E_pfrac_relevant,mid_adf_n_triplets,start_adf_max","(2, 42, 52)",3,0.3244453076203385
E_pfrac_relevant + end_adf_n_triplets + start_adf_max,"E_pfrac_relevant,end_adf_n_triplets,start_adf_max","(2, 11, 52)",3,0.3244453076203385
E_pfrac_relevant + start_adf_mean + start_adf_n_triplets,"E_pfrac_relevant,start_adf_mean,start_adf_n_triplets","(2, 53, 55)",3,0.3241624029504445
E_pfrac_relevant + mid_adf_n_triplets + start_adf_mean,"E_pfrac_relevant,mid_adf_n_triplets,start_adf_mean","(2, 42, 53)",3,0.3226497059968836
E_pfrac_relevant + end_adf_n_triplets + start_adf_mean,"E_pfrac_relevant,end_adf_n_triplets,start_adf_mean","(2, 11, 53)",3,0.3226497059968836
E_pfrac_relevant + mid_nearest_mass + start_adf_mean,"E_pfrac_relevant,mid_nearest_mass,start_adf_mean","(2, 47, 53)",3,0.31825463669999043
E_pfrac_relevant + mid_nearest_Z + start_adf_mean,"E_pfrac_relevant,mid_nearest_Z,start_adf_mean","(2, 44, 53)",3,0.31825463669999043
E_pfrac_relevant + mid_nearest_Z4 + start_adf_mean,"E_pfrac_relevant,mid_nearest_Z4,start_adf_mean","(2, 45, 53)",3,0.31825463669999043
E_pfrac_relevant + ehull + end_adf_max,"E_pfrac_relevant,ehull,end_adf_max","(2, 7, 8)",3,0.31694627720891394
E_pfrac_relevant + ehull + start_adf_n_triplets,"E_pfrac_relevant,ehull,start_adf_n_triplets","(2, 7, 55)",3,0.316293308095143
E_pfrac_relevant + ehull + mid_adf_n_triplets,"E_pfrac_relevant,ehull,mid_adf_n_triplets","(2, 7, 42)",3,0.316293308095143
E_pfrac_relevant + ehull + end_adf_n_triplets,"E_pfrac_relevant,ehull,end_adf_n_triplets","(2, 7, 11)",3,0.316293308095143
E_pfrac_relevant + start_adf_mean + start_adf_min,"E_pfrac_relevant,start_adf_mean,start_adf_min","(2, 53, 54)",3,0.31573860486171484
