n_feat,features,cv5_r2,source
3,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_afs_gauss_std')]",0.41852072603036355,triple_rank1
4,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('kvec_z')]",0.39752622452938485,triple_rank1
3,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pmid_afs_gauss_std')]",0.418017097247704,triple_rank2
4,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg')]",0.47707418511113076,triple_rank2
5,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg'), np.str_('kstart_frac_y')]",0.4859929660647751,triple_rank2
6,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg'), np.str_('kstart_frac_y'), np.str_('band_binary')]",0.4636678808857192,triple_rank2
3,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std')]",0.3955445555370566,triple_rank3
4,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('pstart_afs_bessel_std')]",0.3783682805842127,triple_rank3
5,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('pstart_afs_bessel_std'), np.str_('pstart_grdf_trig_max')]",0.4210156529323873,triple_rank3
6,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('pstart_afs_bessel_std'), np.str_('pstart_grdf_trig_max'), np.str_('pmid_grdf_gauss_mean')]",0.4133155076834278,triple_rank3
7,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('pstart_afs_bessel_std'), np.str_('pstart_grdf_trig_max'), np.str_('pmid_grdf_gauss_mean'), np.str_('pstart_grdf_gauss_std')]",0.39822517574677624,triple_rank3
8,"[np.str_('E_pfrac_relevant'), np.str_('pend_grdf_trig_max'), np.str_('pstart_afs_gauss_std'), np.str_('pstart_afs_bessel_std'), np.str_('pstart_grdf_trig_max'), np.str_('pmid_grdf_gauss_mean'), np.str_('pstart_grdf_gauss_std'), np.str_('pmid_n_atoms_on_plane')]",0.42909859427443636,triple_rank3
3,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std')]",0.3890447047985049,triple_rank4
4,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std'), np.str_('pmid_afs_gauss_std')]",0.38224369546517645,triple_rank4
5,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg')]",0.39796487105735173,triple_rank4
6,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg'), np.str_('pstart_afs_bessel_std')]",0.42427512489403607,triple_rank4
7,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg'), np.str_('pstart_afs_bessel_std'), np.str_('sum_Z4')]",0.40441455894655254,triple_rank4
8,"[np.str_('E_pfrac_relevant'), np.str_('ehull'), np.str_('pstart_afs_gauss_std'), np.str_('pmid_afs_gauss_std'), np.str_('kpath_angle_deg'), np.str_('pstart_afs_bessel_std'), np.str_('sum_Z4'), np.str_('pmid_grdf_trig_max')]",0.4342634964876802,triple_rank4
3,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean')]",0.38888258710660367,triple_rank5
4,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean'), np.str_('kend_frac_x')]",0.4000797533673489,triple_rank5
5,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean'), np.str_('kend_frac_x'), np.str_('kvec_z')]",0.41162773776140116,triple_rank5
6,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean'), np.str_('kend_frac_x'), np.str_('kvec_z'), np.str_('pstart_afs_bessel_std')]",0.40983790353751887,triple_rank5
7,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean'), np.str_('kend_frac_x'), np.str_('kvec_z'), np.str_('pstart_afs_bessel_std'), np.str_('pend_afs_gauss_mean')]",0.420664864503191,triple_rank5
8,"[np.str_('E_pfrac_relevant'), np.str_('pmid_grdf_trig_max'), np.str_('pstart_grdf_gauss_mean'), np.str_('kend_frac_x'), np.str_('kvec_z'), np.str_('pstart_afs_bessel_std'), np.str_('pend_afs_gauss_mean'), np.str_('radius_mean')]",0.4317520539758538,triple_rank5
1,[np.str_('pmid_grdf_trig_max')],0.08064082270635572,from_scratch
2,"[np.str_('pmid_grdf_trig_max'), np.str_('E_pfrac_relevant')]",0.2528761271537302,from_scratch
3,"[np.str_('pmid_grdf_trig_max'), np.str_('E_pfrac_relevant'), np.str_('E_pfrac_CBM')]",0.3755953708454309,from_scratch
4,"[np.str_('pmid_grdf_trig_max'), np.str_('E_pfrac_relevant'), np.str_('E_pfrac_CBM'), np.str_('radius_mean')]",0.40455055694750985,from_scratch
5,"[np.str_('pmid_grdf_trig_max'), np.str_('E_pfrac_relevant'), np.str_('E_pfrac_CBM'), np.str_('radius_mean'), np.str_('pmid_grdf_gauss_std')]",0.41010419237731527,from_scratch
