Formula,uid,Rashba_parameter,pmid_grdf_trig_max,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean
SSeW,001e03f2c095,3.288,-1.5807777534717378,0.224009385476083,0.1944202818853834,1.1666666666666667,0.2759497009136277,0.0,0.3729423454452537
Sn2Te2,03bcf7dcdaf2,4.804,-2.173680899149965,0.6785544244677716,0.8358953535587912,1.4249999999999998,0.0031607118049786,0.0,0.4768790844063632
ClSbTe,04fdd7d1ec5c,1.018,-1.8592992218023547,0.8840911585585108,0.92019295831051,1.2833333333333332,0.150882455915908,0.5,0.4329438326027852
WMo3Se8,05a06afa3b20,1.643,-6.920370184354191,0.2290036829903243,0.17766113078223,1.3166666666666669,0.9795104604898968,0.5,9.8154775061145
CrW3Se8,0b7696e1f4c9,1.756,-6.982180709625033,0.1813042425403861,0.1534142461286447,1.3,0.9683157180434316,0.5,10.455499858563975
ClSbSe,0c0fbdaf8f4a,2.682,-1.599254952697779,0.7943110472668419,0.8322172034831463,1.2,0.2260291473756004,0.0,0.2967679481316294
ISbTe,0f02957b17cf,3.658,-1.2342344760598332,0.848391125348033,0.8724804784156919,1.4166666666666667,0.1500200241367949,0.0,0.1059895356969052
AsITe,114b3382699c,0.579,-1.74151265175515,0.9466262309905492,0.9096856795947482,1.3166666666666669,0.1864497353607483,0.0,0.3863201435018275
BiBrSe,11db0908d9ef,0.393,-1.806517832124052,0.9198579768745668,0.9316661883508596,1.3,0.1673230324428795,0.5,0.4164897850017433
CrMo3Te8,159f028a85d0,0.896,-5.107500843121151,0.2569664710702297,0.1252595031050306,1.4166666666666667,0.9200061766021592,0.0,4.570450979892815
TiHf3Te8,1667d1443160,1.512,-2.608896574333768,0.7032942480989642,0.1550792284914078,1.45,0.6049922443071675,0.5,1.6775452273184217
Ti2Zr2Te8,18e377cce57f,1.855,-3.623721747402316,0.6431649598769135,0.1240123504437783,1.45,0.7340432488052646,0.5,1.935493497702876
