Formula,uid,Rashba_parameter,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,ehull
SSeW,001e03f2c095,3.288,0.224009385476083,0.1944202818853834,1.1666666666666667,0.0087597024110115,60.00000005146583,0.01
Sn2Te2,03bcf7dcdaf2,4.804,0.6785544244677716,0.8358953535587912,1.4249999999999998,0.0081265395134707,-90.0,0.063
ClSbTe,04fdd7d1ec5c,1.018,0.8840911585585108,0.92019295831051,1.2833333333333332,0.0100747508086987,120.00000002401246,0.153
WMo3Se8,05a06afa3b20,1.643,0.2290036829903243,0.17766113078223,1.3166666666666669,2.3544838024271337,180.0,0.0
CrW3Se8,0b7696e1f4c9,1.756,0.1813042425403861,0.1534142461286447,1.3,2.5442068051315605,180.0,0.01
ClSbSe,0c0fbdaf8f4a,2.682,0.7943110472668419,0.8322172034831463,1.2,0.0019747183096531,29.99999994307009,0.014
ISbTe,0f02957b17cf,3.658,0.848391125348033,0.8724804784156919,1.4166666666666667,0.0014178093338184,30.00000003954003,0.0
AsITe,114b3382699c,0.579,0.9466262309905492,0.9096856795947482,1.3166666666666669,0.0081559843762849,59.99999998120587,0.162
BiBrSe,11db0908d9ef,0.393,0.9198579768745668,0.9316661883508596,1.3,0.0090682747190613,-150.0000000375113,0.111
CrMo3Te8,159f028a85d0,0.896,0.2569664710702297,0.1252595031050306,1.4166666666666667,1.1396370453288296,0.0,0.035
TiHf3Te8,1667d1443160,1.512,0.7032942480989642,0.1550792284914078,1.45,0.4526582288145663,-130.8334179720495,0.132
Ti2Zr2Te8,18e377cce57f,1.855,0.6431649598769135,0.1240123504437783,1.45,0.7759079817591281,180.0,0.118
BrSbTe,18e62ba75259,2.631,0.83517716605127,0.8451200771706139,1.3333333333333333,0.0012738027321976,30.00000006476616,0.0
HgTe,1a3bdd1b142a,0.618,0.8163718961430929,0.6004465462984125,1.45,0.0,59.99999999172792,0.165
AsClSe,1a3be826b3e0,3.717,0.8229245148495816,0.8258043654001617,1.1,0.0099843534661444,29.999999972350786,0.013
AsBrS,1dcd471c2288,3.109,0.81239137651136,0.8750866369111423,1.1,0.0107868522702546,119.99999998528736,0.034
O2Pb2,20f098bd3f31,1.914,0.8829775241595053,0.8990904811171163,1.2,0.0,-90.0,0.287
GeSe,211bcb7f05d6,0.94,0.9034063151276184,0.7457842356027244,1.2,0.0,120.00000000156714,0.04
MoW3Se8,24d6cc0a0fed,2.097,0.2110720286877839,0.1880903063476812,1.3166666666666669,2.337046522898496,180.0,0.0
Bi2P2S6,287dcf4f1a19,1.406,0.8599441662300487,0.9027750754848928,1.2,1.1826912139634342,-90.0,0.053
BiITe,2d41b3dd1772,2.086,0.9040246564075758,0.919259222337323,1.4666666666666668,0.0008840256407309,60.000000002722,0.0
MoSTe,2ea941c8bc3c,2.525,0.2656621523829215,0.2434765337283689,1.2833333333333334,0.0411535149851004,59.99999999294942,0.223
MoW3S8,2f6f133abcc8,2.241,0.2120919784501239,0.2250064564826057,1.2666666666666666,3.136699555755772,180.0,0.0
BiBrTe,304bc6a92d82,1.13,0.8941369584845804,0.9109066585302884,1.3833333333333335,0.0005583941977259,120.00000003531756,0.0
WMo3Te8,323fb700d903,1.501,0.3014358700618786,0.1389700062296471,1.3999999999999997,1.3671358938247664,180.0,0.005
ISbSe,343d2125478e,1.17,0.8991816494298284,0.9133427007098202,1.3333333333333333,0.0069196776377032,30.000000008527763,0.13
Pb2Te6,3995fa1bee6e,3.064,0.8986972744902609,0.8492620158711233,1.6,0.1094597910138744,-89.99999999999618,0.129
PbTe,3bc08d486d65,2.18,0.9311785526870192,0.7994363268899549,1.6,0.0,-149.99999994206163,0.198
