combo,n_feat,features,reg205_r2,reg205_mae,reg99_r2,reg99_mae,n_feat_99,features_99,clf205_f1,clf205_auc,clf205_prec,clf205_rec,clf99_f1,clf99_auc,clf99_prec,clf99_rec
C1_stage2_original,2,"old_E_pfrac_relevant, old_radius_mean",0.11846720367701569,0.6199666115551461,0.563367615641344,0.47871786473977446,3,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean",0.6454545454545455,0.7229755908562572,0.5419847328244275,0.797752808988764,0.8,0.876734693877551,0.7636363636363637,0.84
C2_new_best4,4,"old_E_pfrac_relevant, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg",0.511592489744445,0.44402741434050774,0.5778306951458814,0.4524700288965245,5,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg",0.7422680412371134,0.8527218132506781,0.6857142857142857,0.8089887640449438,0.8,0.8885714285714285,0.7636363636363637,0.84
C3_old_best4,4,"old_E_pfrac_relevant, start_adf_min, start_adf_n_triplets, mid_nearest_Z",0.4354044909224186,0.4781689922425805,0.5482931890590457,0.4665748044216271,5,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z",0.6868686868686869,0.799205734211546,0.6238532110091743,0.7640449438202247,0.7962962962962963,0.9151020408163266,0.7413793103448276,0.86
C4_new4_plus_rm,5,"old_E_pfrac_relevant, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean",0.47114843769818804,0.4384859407401666,0.5969748238012242,0.45221594456952025,6,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean",0.7253886010362695,0.8438105385509493,0.6730769230769231,0.7865168539325843,0.8113207547169812,0.8857142857142857,0.7678571428571429,0.86
C5_new4_rm_Z4,6,"old_E_pfrac_relevant, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean, old_max_Z4",0.4740839580046575,0.4460219264774788,0.5979470023974549,0.43849246564537586,7,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean, old_max_Z4",0.743455497382199,0.8422607516466486,0.696078431372549,0.797752808988764,0.8,0.9032653061224489,0.7333333333333333,0.88
C6_proven_plus_new,6,"old_E_pfrac_relevant, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",0.46158295572360164,0.44242294888147504,0.6319829843618567,0.42835620514070144,7,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",0.7395833333333334,0.8395486245641225,0.6893203883495146,0.797752808988764,0.8073394495412844,0.9081632653061225,0.7457627118644068,0.88
C7_old_best7,7,"old_E_pfrac_relevant, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4",0.4494205255013457,0.4671367134978131,0.5495837401838497,0.46719694213674523,8,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4",0.6910994764397905,0.8206121658271988,0.6470588235294118,0.7415730337078652,0.8181818181818182,0.9146938775510205,0.75,0.9
C8_old7_plus_rm,8,"old_E_pfrac_relevant, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean",0.4300427821521694,0.4689561118009615,0.575162665599622,0.45931696294052426,9,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean",0.694300518134715,0.8101026733824099,0.6442307692307693,0.7528089887640449,0.7777777777777778,0.8955102040816326,0.7241379310344828,0.84
C9_new_best7,7,"pmid_grdf_trig_max, old_E_pfrac_relevant, old_E_pfrac_CBM, old_radius_mean, pmid_grdf_gauss_std, old_kstart_frac_x, pmid_afs_trig_mean",0.40854733755387307,0.4735624413373994,0.48784373913963086,0.4998558397533918,8,"pmid_grdf_trig_max, old_E_pfrac_VBM, old_E_pfrac_CBM, old_E_pfrac_CBM, old_radius_mean, pmid_grdf_gauss_std, old_kstart_frac_x, pmid_afs_trig_mean",0.7589743589743589,0.8670089112746997,0.6981132075471698,0.8314606741573034,0.8598130841121495,0.9269387755102041,0.8070175438596491,0.92
C10_balanced_all_proven,8,"old_E_pfrac_relevant, old_radius_mean, old_max_Z4, old_max_Z, pmid_afs_gauss_std, pmid_grdf_trig_max, old_kpath_angle_deg, old_ehull",0.46148560589573595,0.4416041244181192,0.6021099421586014,0.42279512561451305,9,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_max_Z, pmid_afs_gauss_std, pmid_grdf_trig_max, old_kpath_angle_deg, old_ehull",0.75,0.8557245253777606,0.7263157894736842,0.7752808988764045,0.8148148148148148,0.9114285714285715,0.7586206896551724,0.88
