n_feat,features,features_full,loo_r2,loo_mae
1,E_pfrac_VBM,old_E_pfrac_VBM,-0.14592030070056805,0.772489205230366
1,E_pfrac_CBM,old_E_pfrac_CBM,0.17566930040157913,0.6110351959045487
1,radius_mean,old_radius_mean,-0.1508367146687215,0.749681794985376
1,max_Z4,old_max_Z4,-0.14669970284192968,0.7546508412987294
1,pmid_afs_gauss_std,pmid_afs_gauss_std,-0.1753140025001061,0.7504781168542726
1,kpath_angle_deg,old_kpath_angle_deg,-0.055967212309317116,0.7632750275351784
1,ehull,old_ehull,-0.16258104323694322,0.7801665604861096
1,E_sfrac_VBM,E_sfrac_VBM,0.2539661422191586,0.6281497703513714
1,E_sfrac_CBM,E_sfrac_CBM,0.025634931639188174,0.6763239364094205
2,"E_pfrac_VBM, E_pfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM",0.3794142958764568,0.5641633322359335
2,"E_pfrac_VBM, radius_mean","old_E_pfrac_VBM, old_radius_mean",0.16381690174408103,0.6873932625549007
2,"E_pfrac_VBM, max_Z4","old_E_pfrac_VBM, old_max_Z4",-0.003988659294291486,0.7193028009780729
2,"E_pfrac_VBM, pmid_afs_gauss_std","old_E_pfrac_VBM, pmid_afs_gauss_std",0.031609877000983944,0.7185289231791638
2,"E_pfrac_VBM, kpath_angle_deg","old_E_pfrac_VBM, old_kpath_angle_deg",0.07278286250549204,0.7118099099217037
2,"E_pfrac_VBM, ehull","old_E_pfrac_VBM, old_ehull",0.004807973456122494,0.71279748986827
2,"E_pfrac_VBM, E_sfrac_VBM","old_E_pfrac_VBM, E_sfrac_VBM",0.34149783147304147,0.596609227638052
2,"E_pfrac_VBM, E_sfrac_CBM","old_E_pfrac_VBM, E_sfrac_CBM",0.2609044071046658,0.6118518480580263
2,"E_pfrac_CBM, radius_mean","old_E_pfrac_CBM, old_radius_mean",0.22788310253807842,0.6039658913082546
2,"E_pfrac_CBM, max_Z4","old_E_pfrac_CBM, old_max_Z4",0.24767842092265202,0.5917556856858609
2,"E_pfrac_CBM, pmid_afs_gauss_std","old_E_pfrac_CBM, pmid_afs_gauss_std",0.3828061549320698,0.5624562921909371
2,"E_pfrac_CBM, kpath_angle_deg","old_E_pfrac_CBM, old_kpath_angle_deg",0.2078905008874321,0.6083380677820457
2,"E_pfrac_CBM, ehull","old_E_pfrac_CBM, old_ehull",0.18431345776395802,0.640188093276939
2,"E_pfrac_CBM, E_sfrac_VBM","old_E_pfrac_CBM, E_sfrac_VBM",0.34372499226873965,0.5766227217394897
2,"E_pfrac_CBM, E_sfrac_CBM","old_E_pfrac_CBM, E_sfrac_CBM",0.19157402940774426,0.5850368692706329
2,"radius_mean, max_Z4","old_radius_mean, old_max_Z4",-0.18507681550699262,0.7550749070861121
2,"radius_mean, pmid_afs_gauss_std","old_radius_mean, pmid_afs_gauss_std",0.06208576290043588,0.6680070353084141
2,"radius_mean, kpath_angle_deg","old_radius_mean, old_kpath_angle_deg",-0.0814332991106097,0.7517789440829344
