combo,model,n_feat,loo_r2,loo_mae,features
C3_new_best4,XGBoost,5,0.5778306951458814,0.4524700288965245,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg"
C3_new_best4,RandomForest,5,0.4962256338069261,0.4874164177718403,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg"
C3_new_best4,GradBoosting,5,0.5499324380132946,0.4729850922777016,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg"
C3_new_best4,SVR_RBF,5,0.5357910705379554,0.47212898755571675,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg"
C3_new_best4+rm,XGBoost,6,0.5969748238012242,0.45221594456952025,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean"
C3_new_best4+rm,RandomForest,6,0.5145674253876286,0.4866148195229176,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean"
C3_new_best4+rm,GradBoosting,6,0.5627136583624885,0.45170483691566765,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean"
C3_new_best4+rm,SVR_RBF,6,0.427524842417326,0.49082493114528486,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, pmid_afs_gauss_std, old_kpath_angle_deg, old_radius_mean"
C8_full_old_new,XGBoost,10,0.5591498456036434,0.4624125804034146,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_nearest_Z, mid_nearest_Z4, old_kpath_angle_deg, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, old_radius_mean, pstart_afs_gauss_std"
C8_full_old_new,RandomForest,10,0.4831574335480108,0.4905055536118728,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_nearest_Z, mid_nearest_Z4, old_kpath_angle_deg, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, old_radius_mean, pstart_afs_gauss_std"
C8_full_old_new,GradBoosting,10,0.5653154722112067,0.45848252837751363,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_nearest_Z, mid_nearest_Z4, old_kpath_angle_deg, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, old_radius_mean, pstart_afs_gauss_std"
C8_full_old_new,SVR_RBF,10,0.25638304994827865,0.5414746325780778,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_nearest_Z, mid_nearest_Z4, old_kpath_angle_deg, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, old_radius_mean, pstart_afs_gauss_std"
C9_kitchen_sink,XGBoost,14,0.5580473571661463,0.4508158497714033,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, pstart_afs_gauss_std, old_radius_mean, old_E_pfrac_CBM"
C9_kitchen_sink,RandomForest,14,0.4415887022090935,0.5028834741062229,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, pstart_afs_gauss_std, old_radius_mean, old_E_pfrac_CBM"
C9_kitchen_sink,GradBoosting,14,0.44526956456684574,0.4886639114694294,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, pstart_afs_gauss_std, old_radius_mean, old_E_pfrac_CBM"
C9_kitchen_sink,SVR_RBF,14,0.3536494011540552,0.5051230881609627,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, pmid_grdf_trig_max, old_ehull, pmid_afs_gauss_std, pstart_afs_gauss_std, old_radius_mean, old_E_pfrac_CBM"
C5_old_best7,XGBoost,8,0.5495837401838497,0.46719694213674523,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4"
C5_old_best7,RandomForest,8,0.5092805685280555,0.4785951223054443,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4"
C5_old_best7,GradBoosting,8,0.48120851494184036,0.4543638993868548,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4"
C5_old_best7,SVR_RBF,8,0.4054161943494702,0.5176809068980259,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4"
C5_old_best7+rm,XGBoost,9,0.575162665599622,0.45931696294052426,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean"
C5_old_best7+rm,RandomForest,9,0.5231153746221164,0.47451397207915874,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean"
C5_old_best7+rm,GradBoosting,9,0.4651824766632934,0.4695451911294334,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean"
C5_old_best7+rm,SVR_RBF,9,0.3568313157833124,0.5189657060838809,"old_E_pfrac_VBM, old_E_pfrac_CBM, mid_adf_n_triplets, start_adf_min, mid_nearest_Z, start_adf_mean, old_kpath_angle_deg, mid_nearest_Z4, old_radius_mean"
C2_old_best4,XGBoost,5,0.5482931890590457,0.4665748044216271,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z"
C2_old_best4,RandomForest,5,0.5153424649152627,0.4761136362522671,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z"
C2_old_best4,GradBoosting,5,0.4949594130067482,0.4723398876061628,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z"
C2_old_best4,SVR_RBF,5,0.4797661825956435,0.4976995151176666,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z"
C2_old_best4+rm,XGBoost,6,0.520835180372353,0.4913165838164512,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z, old_radius_mean"
C2_old_best4+rm,RandomForest,6,0.5275032299324036,0.47845367433896924,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z, old_radius_mean"
C2_old_best4+rm,GradBoosting,6,0.47127855494068227,0.4862881010443476,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z, old_radius_mean"
C2_old_best4+rm,SVR_RBF,6,0.42847194902417374,0.5188039480805898,"old_E_pfrac_VBM, old_E_pfrac_CBM, start_adf_min, start_adf_n_triplets, mid_nearest_Z, old_radius_mean"
