combo,addition,n_feat,loo_r2,loo_mae
C1_stage2_original,none,3,0.563367615641344,0.47871786473977446
C1_stage2_original,+dfrac,5,0.5082584960762131,0.506514769686593
C1_stage2_original,+sfrac,5,0.5338408486051952,0.4707513069528522
C1_stage2_original,+sd_all,7,0.5120909204996724,0.49195581808957195
C2_new_best4,none,5,0.5778306951458814,0.4524700288965245
C2_new_best4,+dfrac,7,0.5877787288192718,0.4442418634626601
C2_new_best4,+sfrac,7,0.6152176270189221,0.436323422711305
C2_new_best4,+sd_all,9,0.6057939910266893,0.4453076189648022
C3_old_best4,none,5,0.5482931890590457,0.4665748044216271
C3_old_best4,+dfrac,7,0.4865411856919888,0.4904297098631811
C3_old_best4,+sfrac,7,0.6152473615886342,0.4387280871555059
C3_old_best4,+sd_all,9,0.5731214260104784,0.45965087588628134
C4_new4_plus_rm,none,6,0.5969748238012242,0.45221594456952025
C4_new4_plus_rm,+dfrac,8,0.5804689136511229,0.46051594933114876
C4_new4_plus_rm,+sfrac,8,0.6060578428797707,0.4514751603386619
C4_new4_plus_rm,+sd_all,10,0.5953056531731656,0.45082733424986254
C5_new4_rm_Z4,none,7,0.5979470023974549,0.43849246564537586
C5_new4_rm_Z4,+dfrac,9,0.5979528103878965,0.42740314684973824
C5_new4_rm_Z4,+sfrac,9,0.5937521144968382,0.45034994100320225
C5_new4_rm_Z4,+sd_all,11,0.5659768433644115,0.455332758181023
C6_proven_plus_new,none,7,0.6319829843618567,0.42835620514070144
C6_proven_plus_new,+dfrac,9,0.5981860464037853,0.4370901306277574
C6_proven_plus_new,+sfrac,9,0.5895500521781549,0.45526736144826874
C6_proven_plus_new,+sd_all,11,0.6024001502558736,0.4424843133049783
C7_old_best7,none,8,0.5495837401838497,0.46719694213674523
C7_old_best7,+dfrac,10,0.5035637670932487,0.4851390915205984
C7_old_best7,+sfrac,10,0.6226982010160164,0.43438544746842045
C7_old_best7,+sd_all,12,0.5839732636623276,0.44836691572208603
C8_old7_plus_rm,none,9,0.575162665599622,0.45931696294052426
C8_old7_plus_rm,+dfrac,11,0.5161844507045674,0.4826591003832191
C8_old7_plus_rm,+sfrac,11,0.5960494086276842,0.44262424502228237
C8_old7_plus_rm,+sd_all,13,0.5503051738254401,0.4660390720897251
C9_new_best7,none,8,0.48784373913963086,0.4998558397533918
C9_new_best7,+dfrac,10,0.47191717202148853,0.5103743371144689
C9_new_best7,+sfrac,10,0.5593973650187595,0.4588362611327509
C9_new_best7,+sd_all,12,0.5236097666344242,0.46392669990809277
C10_balanced_all_proven,none,9,0.6021099421586014,0.42279512561451305
C10_balanced_all_proven,+dfrac,11,0.5672630710973381,0.44590663739888353
C10_balanced_all_proven,+sfrac,11,0.612109972796923,0.4274408390064432
C10_balanced_all_proven,+sd_all,13,0.5709341838631035,0.4449808314063332
C11_full_mix,none,11,0.5549273337830697,0.4596161727038297
C11_full_mix,+dfrac,13,0.5491712405374571,0.46291726393651483
C11_full_mix,+sfrac,13,0.6237303195942447,0.4176283324222372
C11_full_mix,+sd_all,15,0.6032449157493707,0.4321898918392683
C12_balanced_plus_band,none,8,0.5590092766477495,0.4632968368193116
C12_balanced_plus_band,+dfrac,10,0.5618680540332308,0.4526987882912761
C12_balanced_plus_band,+sfrac,10,0.6111227822451823,0.4274944208992852
C12_balanced_plus_band,+sd_all,12,0.5758445499664488,0.4379922057354089
C13_kitchen_sink,none,16,0.5644541176181065,0.45823003359515263
C13_kitchen_sink,+dfrac,18,0.5133412127573616,0.46892779234202225
C13_kitchen_sink,+sfrac,18,0.6390204313050991,0.4139746874799632
C13_kitchen_sink,+sd_all,20,0.6150580298043427,0.42018714707307137
C14_everything,none,25,0.5253889040153803,0.46211826025837593
C14_everything,+dfrac,27,0.4892722614638382,0.4646052366988827
C14_everything,+sfrac,27,0.6116185497833211,0.4217652904770591
C14_everything,+sd_all,29,0.5890339872705762,0.4193994472050907
