n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std",LR,0.05529648114659935,0.7155990244773313
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std",SVR_RBF,0.3674525410387498,0.5486469001632562
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg",LR,0.07001937424316584,0.7192396055584879
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg",SVR_RBF,0.46894214156588643,0.5164305688252212
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_ehull",LR,-0.017760044717321843,0.7407816702587382
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_ehull",SVR_RBF,0.3566350304497633,0.5554259779466314
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_VBM",LR,0.3621405416282548,0.5984284163639684
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_VBM",SVR_RBF,0.3940452212611699,0.5286058005871349
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_CBM",LR,0.03647843070205792,0.7110797642287495
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_CBM",SVR_RBF,0.40599029036728007,0.484988485078422
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg",LR,0.08225383823505161,0.697087913513053
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg",SVR_RBF,0.47473243954838196,0.4993047182237341
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_ehull",LR,0.07186361072315062,0.6972153093083152
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_ehull",SVR_RBF,0.4272312413006605,0.506927425261449
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.385379003283297,0.5861165355692242
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_VBM",SVR_RBF,0.4048041588537209,0.5144302931983906
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_CBM",LR,0.09756219139482947,0.6825480192352994
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_CBM",SVR_RBF,0.42007195165400113,0.4844277370680034
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, old_ehull",LR,0.0731073450030113,0.6927262367233841
