base_combo,base_model,base_r2,approach,level1_model,level1_features,n_level1_feat,loo_r2,loo_mae,improvement
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.42176749336310637,Full_features,LR,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']",5,0.5514565565675251,0.47342585562696365,0.12968906320441875
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.42176749336310637,Sfrac_only,LR,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.47573150587731405,0.513948003841169,0.05396401251420768
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.42176749336310637,Full_features,SVR_RBF,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']",5,0.5850266823079455,0.45530826930807106,0.16325918894483915
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.42176749336310637,Sfrac_only,SVR_RBF,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.5439180983429692,0.44606811349078873,0.12215060497986285
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.4182356051444819,Full_features,LR,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']",6,0.5992669918265214,0.45864851287880337,0.18103138668203955
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.4182356051444819,Sfrac_only,LR,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.5582896156971676,0.47055745011146627,0.14005401055268574
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.4182356051444819,Full_features,SVR_RBF,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']",6,0.5779846234841349,0.45672425740174577,0.15974901833965305
"old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.4182356051444819,Sfrac_only,SVR_RBF,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.600410167771495,0.4167030880571616,0.18217456262701315
"old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5738849395106798,Full_features,LR,"['old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']",5,0.5190125599869442,0.4782769568279536,-0.05487237952373558
"old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5738849395106798,Sfrac_only,LR,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.5306931781912176,0.48857760692365243,-0.04319176131946212
"old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5738849395106798,Full_features,SVR_RBF,"['old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']",5,0.5214302406654974,0.4660347823470529,-0.05245469884518239
"old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5738849395106798,Sfrac_only,SVR_RBF,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.586274335915687,0.42473096041727554,0.012389396405007247
"old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5455901208575451,Full_features,LR,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']",6,0.524658697253283,0.48707394472276316,-0.020931423604262145
"old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5455901208575451,Sfrac_only,LR,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.5149552139178706,0.48754203636477694,-0.030634906939674522
"old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5455901208575451,Full_features,SVR_RBF,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']",6,0.5118040464492716,0.48237347477614284,-0.033786074408273525
"old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.5455901208575451,Sfrac_only,SVR_RBF,"['E_sfrac_VBM', 'E_sfrac_CBM']",2,0.5467360484675703,0.4353417131876705,0.001145927610025188
