n_features,features,features_str,loo_r2,loo_mae,best_params,kernel,C,gamma,epsilon
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std",0.4764529614872981,0.5088801467865154,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg",0.49405912865768054,0.49335197372157413,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_ehull",0.15031250228449156,0.6221476125297934,"{'svr__C': 100.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.01
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_VBM",0.3796179987466691,0.5476210930978126,"{'svr__C': 100.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,100.0,auto,0.1
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, E_sfrac_CBM",0.3674211347847901,0.4906139587873318,"{'svr__C': 100.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.1, 'svr__kernel': 'rbf'}",rbf,100.0,0.1,0.1
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg",0.18599062155762192,0.6222941788847461,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,100.0,auto,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_ehull",0.49350374165009625,0.4949826807248562,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_VBM",0.4757967949368749,0.5215196999732057,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_CBM",0.3259127704883322,0.5071421344043963,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, old_ehull",0.511942725238649,0.47422405761962383,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_VBM",0.3942091000214819,0.583809853794387,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_CBM",0.32408397758308105,0.5574594820570262,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull, E_sfrac_VBM",0.5462447727216488,0.48790367762148346,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
