Scenario,FeatureSet,N,Pos/Neg,F1,AUC,Precision,Recall
ALL,Best6,99,50/49,0.803921568627451,0.8926530612244897,0.7884615384615384,0.82
ALL,Original3,99,50/49,0.8247422680412371,0.876326530612245,0.851063829787234,0.8
ALL,C6_7feat,99,50/49,0.8282828282828283,0.9057142857142857,0.8367346938775511,0.82
ALL,Best5,99,50/49,0.8163265306122449,0.8955102040816326,0.8333333333333334,0.8
<3.5,Best6,91,42/49,0.8048780487804879,0.8824101068999027,0.825,0.7857142857142857
<3.5,Original3,91,42/49,0.825,0.8547133138969873,0.868421052631579,0.7857142857142857
<3.5,C6_7feat,91,42/49,0.8,0.8765792031098154,0.8421052631578947,0.7619047619047619
<3.5,Best5,91,42/49,0.8048780487804879,0.8707482993197279,0.825,0.7857142857142857
<3.0,Best6,87,38/49,0.7671232876712328,0.864124597207304,0.8,0.7368421052631579
<3.0,Original3,87,38/49,0.8055555555555556,0.8501611170784104,0.8529411764705882,0.7631578947368421
<3.0,C6_7feat,87,38/49,0.7397260273972602,0.8646616541353382,0.7714285714285715,0.7105263157894737
<3.0,Best5,87,38/49,0.8108108108108109,0.8694951664876477,0.8333333333333334,0.7894736842105263
