Formula,uid,kpath,band,Rashba_parameter,ehull,bandgap,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,max_Z4,max_Z,max_mass,pmid_grdf_trig_max,band_binary,radius_diff,n_elements,kpath_real_distance,E_pfrac_relevant
SSeW,001e03f2c095,G->K,C,3.288,0.01,1.417,0.224009385476083,0.1944202818853834,1.1666666666666667,0.0087597024110115,60.000000051465825,29986576,74,183.84,-1.5807777534717378,1,0.3500000000000001,3,1.2880095023957492,0.1944202818853834
Sn2Te2,03bcf7dcdaf2,Y->G,C,4.804,0.063,0.595,0.6785544244677716,0.8358953535587912,1.4249999999999998,0.0081265395134707,-90.0,7311616,52,127.6,-2.173680899149965,1,0.05,2,0.6910688603312941,0.8358953535587912
ClSbTe,04fdd7d1ec5c,M->K,V,1.018,0.153,1.439,0.8840911585585108,0.92019295831051,1.2833333333333332,0.0100747508086987,120.00000002401246,7311616,52,127.6,-1.8592992218023547,0,0.4499999999999999,3,0.5143363844425337,0.8840911585585108
WMo3Se8,05a06afa3b20,X->G,V,1.643,0.0,1.32,0.2290036829903243,0.17766113078223,1.3166666666666669,2.3544838024271337,180.0,29986576,74,183.84,-6.920370184354191,0,0.3,3,0.4730631359298199,0.2290036829903243
CrW3Se8,0b7696e1f4c9,X->G,V,1.756,0.01,0.902,0.1813042425403861,0.1534142461286447,1.3,2.5442068051315605,180.0,29986576,74,183.84,-6.982180709625033,0,0.25,3,0.476000099265373,0.1813042425403861
ClSbSe,0c0fbdaf8f4a,G->M,V,2.682,0.014,1.177,0.7943110472668419,0.8322172034831463,1.2,0.0019747183096531,29.99999994307009,6765201,51,121.76,-1.599254952697779,0,0.4499999999999999,3,0.8996830159842113,0.7943110472668419
ISbTe,0f02957b17cf,G->M,V,3.658,0.0,0.886,0.848391125348033,0.8724804784156919,1.4166666666666667,0.0014178093338184,30.00000003954003,7890481,53,127.6,-1.2342344760598332,0,0.05,3,0.8400758023740541,0.848391125348033
AsITe,114b3382699c,G->K,C,0.579,0.162,0.416,0.9466262309905492,0.9096856795947482,1.3166666666666669,0.0081559843762849,59.99999998120587,7890481,53,127.6,-1.74151265175515,1,0.25,3,1.0574100619195828,0.9096856795947482
BiBrSe,11db0908d9ef,M->G,C,0.393,0.111,1.385,0.9198579768745668,0.9316661883508596,1.3,0.0090682747190613,-150.0000000375113,47458321,83,208.9804,-1.806517832124052,1,0.4500000000000002,3,0.8897328164715187,0.9316661883508596
CrMo3Te8,159f028a85d0,Y->S,V,0.896,0.035,0.665,0.2569664710702297,0.1252595031050306,1.4166666666666667,1.1396370453288296,0.0,7311616,52,127.6,-5.107500843121151,0,0.05,3,0.4447952676104955,0.2569664710702297
