Scenario,FeatureSet,N,R2,MAE,RMSE
ALL,Best6,99,0.6145749926912227,0.4261672047990741,0.5937627944357188
ALL,Original3,99,0.5876818914364492,0.4744221458868547,0.6141284837519748
ALL,C6_7feat,99,0.5993260733672467,0.4177471999158763,0.6053946481587151
ALL,Best5,99,0.5850961789451747,0.4634985188089236,0.6160511229079951
<3.5,Best6,91,0.5266509404496295,0.36689478963810007,0.47472760691551025
<3.5,Original3,91,0.5619907905183174,0.3527143651207725,0.45666249985838425
<3.5,C6_7feat,91,0.5131015295328165,0.37524992075071223,0.48147410427770415
<3.5,Best5,91,0.574136918941301,0.34690001447908164,0.4502862906196422
<3.0,Best6,87,0.4699032315144397,0.3518504676161141,0.4494260163869727
<3.0,Original3,87,0.5231719750503276,0.32880443811416626,0.4262471784419954
<3.0,C6_7feat,87,0.4415612131032268,0.35524385233583117,0.4612840290717071
<3.0,Best5,87,0.525606040134412,0.32550848687380207,0.42515785403220047
