Formula,uid,Rashba_parameter,Predicted,Residual,AbsResidual
Ga2P2Te6,4cb4ea247ef4,3.828,1.9314758777618408,1.896524122238159,1.896524122238159
STeW,75ee10091f43,3.947,2.1168673038482666,1.8301326961517335,1.8301326961517335
Sn2Te2,03bcf7dcdaf2,4.804,3.0554983615875244,1.7485016384124759,1.7485016384124759
 ,aa9a981d89aa,4.457,2.7294275760650635,1.7275724239349364,1.7275724239349364
SeTeW,6e2a4c6f4f57,1.394,2.661465644836426,-1.2674656448364259,1.2674656448364259
Bi2P2S6,287dcf4f1a19,1.406,2.504002094268799,-1.098002094268799,1.098002094268799
BiITe,a84d988e38ac,0.467,1.5430837869644165,-1.0760837869644164,1.0760837869644164
Pb2Te6,3995fa1bee6e,3.064,2.0453426837921143,1.0186573162078858,1.0186573162078858
BiBrSe,de5756e4fbfa,2.784,1.7850559949874878,0.998944005012512,0.998944005012512
HgTe,1a3bdd1b142a,0.618,1.612860083580017,-0.9948600835800171,0.9948600835800171
BiBrS,49b7be14f786,1.293,2.243206024169922,-0.950206024169922,0.950206024169922
ISbTe,0f02957b17cf,3.658,2.7766594886779785,0.8813405113220214,0.8813405113220214
AsISe,5d829e480507,1.626,2.4978890419006348,-0.8718890419006349,0.8718890419006349
BiClTe,badda86cab42,1.458,0.6026551127433777,0.8553448872566223,0.8553448872566223
ISSb,5b94060698bc,2.844,2.0415332317352295,0.8024667682647704,0.8024667682647704
PbTe,3bc08d486d65,2.18,1.3897852897644043,0.7902147102355959,0.7902147102355959
STeW,916afba26723,3.622,2.8598320484161377,0.7621679515838622,0.7621679515838622
BrSbTe,18e62ba75259,2.631,3.3929219245910645,-0.7619219245910647,0.7619219245910647
CrMo3Te8,159f028a85d0,0.896,1.6349992752075195,-0.7389992752075195,0.7389992752075195
MoW3Te8,5c3fe56a1a89,2.045,1.315004587173462,0.729995412826538,0.729995412826538
S2Sn2,7a8373382b33,4.469,3.7492315769195557,0.7197684230804446,0.7197684230804446
AsBrTe,671e6de2497a,0.694,1.4024521112442017,-0.7084521112442017,0.7084521112442017
GeSe,211bcb7f05d6,0.94,1.601834774017334,-0.661834774017334,0.661834774017334
TiHf3Te8,1667d1443160,1.512,2.170758008956909,-0.6587580089569092,0.6587580089569092
Bi2P2Te6,cf7927ab6730,1.814,2.4628288745880127,-0.6488288745880126,0.6488288745880126
BiClSe,a80866a2c6b4,3.032,2.400327682495117,0.6316723175048828,0.6316723175048828
BrSSb,4da5c6be60db,2.39,3.0165674686431885,-0.6265674686431884,0.6265674686431884
P2Sb2Se6,5d1a32a28ffa,2.546,3.131685256958008,-0.585685256958008,0.585685256958008
AsITe,114b3382699c,0.579,1.1441001892089844,-0.5651001892089844,0.5651001892089844
Cr2Mo2Te8,988b11badabb,1.105,1.6298911571502686,-0.5248911571502686,0.5248911571502686
BiClS,c96ef4fc869c,1.181,1.6875967979431152,-0.5065967979431152,0.5065967979431152
BiBrTe,f4f45fcade85,0.498,0.9926150441169739,-0.4946150441169739,0.4946150441169739
BiBrSe,11db0908d9ef,0.393,0.8684628009796143,-0.47546280097961424,0.47546280097961424
PbS,5e4ff1f56b4a,1.241,1.6991649866104126,-0.4581649866104125,0.4581649866104125
BiISe,70cbc0e44d36,2.089,1.6324435472488403,0.45655645275115964,0.45655645275115964
BiBrTe,304bc6a92d82,1.13,1.579652190208435,-0.44965219020843517,0.44965219020843517
MoW3Se8,24d6cc0a0fed,2.097,1.6516664028167725,0.4453335971832275,0.4453335971832275
ClSbSe,f705a30af945,1.483,1.055859088897705,0.427140911102295,0.427140911102295
MoCr3Te8,899032b4ad0c,1.409,1.038519024848938,0.37048097515106204,0.37048097515106204
BiClS,99fd027b1d0b,0.461,0.8269393444061279,-0.3659393444061279,0.3659393444061279
ISbSe,df0019ec24b5,2.431,2.7918670177459717,-0.36086701774597163,0.36086701774597163
GeTe,eadd37f03ca5,0.952,0.5916631817817688,0.36033681821823116,0.36033681821823116
WCr3Te8,6523c349753c,0.99,1.3410937786102295,-0.3510937786102295,0.3510937786102295
ZrHf3Se8,b8fb10416122,0.725,1.075744390487671,-0.3507443904876709,0.3507443904876709
AsClSe,1a3be826b3e0,3.717,3.392490863800049,0.32450913619995125,0.32450913619995125
AsClTe,fba4cc0df459,0.634,0.9554855823516846,-0.32148558235168456,0.32148558235168456
BiIS,40034665f9f1,1.254,0.9429570436477661,0.3110429563522339,0.3110429563522339
CrW3Se8,0b7696e1f4c9,1.756,1.4476063251495361,0.3083936748504639,0.3083936748504639
CrMo3Se8,a7233837cfe9,1.311,1.614033818244934,-0.30303381824493414,0.30303381824493414
BiITe,2d41b3dd1772,2.086,1.805364727973938,0.28063527202606187,0.28063527202606187
BiISe,433f707c632c,1.255,0.9747060537338257,0.2802939462661742,0.2802939462661742
Hf2Zr2Se8,81af2831dbb2,0.698,0.9614565968513489,-0.2634565968513489,0.2634565968513489
ClSbSe,0c0fbdaf8f4a,2.682,2.9376673698425293,-0.25566736984252936,0.25566736984252936
SSeW,001e03f2c095,3.288,3.0324747562408447,0.2555252437591551,0.2555252437591551
ClSbTe,da5fd2bb47af,2.891,2.6395251750946045,0.2514748249053955,0.2514748249053955
Cr2W2Te8,62bb754c4cb2,1.535,1.2961781024932861,0.2388218975067138,0.2388218975067138
WMo3Te8,323fb700d903,1.501,1.7310168743133545,-0.2300168743133546,0.2300168743133546
MoW3S8,2f6f133abcc8,2.241,2.012570858001709,0.22842914199829112,0.22842914199829112
AsClTe,4fd8ad708fb0,2.895,2.67527437210083,0.21972562789916994,0.21972562789916994
Cr2W2S8,5974b6403c31,1.592,1.8108566999435425,-0.2188566999435424,0.2188566999435424
SeSn,d59c96fdfda1,0.873,1.0733280181884766,-0.20032801818847656,0.20032801818847656
CrMo3S8,644f7c1c85c7,1.46,1.6540546417236328,-0.19405464172363285,0.19405464172363285
Ti2Zr2Se8,846b50801a93,1.767,1.5773980617523193,0.18960193824768057,0.18960193824768057
MoCr3Se8,961c37d6e527,0.977,1.164306640625,-0.18730664062500002,0.18730664062500002
WCr3S8,dc4259e69783,1.317,1.498030662536621,-0.18103066253662115,0.18103066253662115
ClSbTe,04fdd7d1ec5c,1.018,1.198380470275879,-0.1803804702758789,0.1803804702758789
Ti2Zr2Te8,18e377cce57f,1.855,1.68587064743042,0.16912935256958006,0.16912935256958006
WMo3S8,9c2979187585,1.816,1.9844889640808105,-0.1684889640808105,0.1684889640808105
BrSbTe,f1e78a09001d,1.315,1.152368426322937,0.16263157367706293,0.16263157367706293
WMo3Se8,05a06afa3b20,1.643,1.8039182424545288,-0.1609182424545288,0.1609182424545288
ZrTi3Se8,52a5e2b280d4,1.091,1.2357796430587769,-0.14477964305877689,0.14477964305877689
P2Sb2Te6,82b85dfd7723,2.596,2.469261884689331,0.12673811531066903,0.12673811531066903
CrW3Te8,eef072f845ce,1.592,1.4658279418945312,0.12617205810546883,0.12617205810546883
ISbSe,343d2125478e,1.17,1.0481828451156616,0.12181715488433831,0.12181715488433831
Cr2W2Se8,548aa830244c,1.39,1.2759052515029907,0.11409474849700918,0.11409474849700918
MoSTe,2ea941c8bc3c,2.525,2.633848190307617,-0.10884819030761728,0.10884819030761728
SnTe,e688959ea45b,0.806,0.913044273853302,-0.10704427385330195,0.10704427385330195
O2Pb2,20f098bd3f31,1.914,1.8139740228652954,0.10002597713470451,0.10002597713470451
BiClSe,7fe9c5cb910c,0.746,0.6461687088012695,0.09983129119873047,0.09983129119873047
MoCr3S8,3fb52099b370,1.221,1.124949336051941,0.09605066394805917,0.09605066394805917
BiIS,acdcd16c0d76,1.858,1.7703937292099,0.0876062707901002,0.0876062707901002
BiClTe,968a6902b7f5,1.175,1.2554336786270142,-0.08043367862701412,0.08043367862701412
TiHf3Se8,3e1923c616ad,1.256,1.3344630002975464,-0.07846300029754638,0.07846300029754638
TiZr3Se8,a148361e5e9a,1.321,1.3970680236816406,-0.07606802368164067,0.07606802368164067
Cr2Mo2Se8,60065d3bbcf2,1.173,1.097938060760498,0.075061939239502,0.075061939239502
PbSe,a0dbdc6630fa,1.603,1.5286906957626343,0.0743093042373657,0.0743093042373657
