Formula,uid,kpath,Rashba_parameter,band_binary,bandgap,ehull,kpath_real_distance,kpath_angle_deg,kvec_x,kvec_y,kvec_z,kstart_frac_x,kstart_frac_y,kend_frac_x,kend_frac_y,kmid_frac_x,kmid_frac_y,kstart_degen,kend_degen,kinterior_degen,ktotal_weight,pstart_grdf_gauss_mean,pstart_grdf_gauss_std,pstart_grdf_gauss_max,pstart_grdf_trig_mean,pstart_grdf_trig_std,pstart_grdf_trig_max,pstart_grdf_bessel_mean,pstart_grdf_bessel_std,pstart_grdf_bessel_max,pstart_n_atoms_on_plane,pstart_afs_gauss_mean,pstart_afs_gauss_std,pstart_afs_gauss_max,pstart_afs_trig_mean,pstart_afs_trig_std,pstart_afs_trig_max,pstart_afs_bessel_mean,pstart_afs_bessel_std,pstart_afs_bessel_max,pstart_plane_mean_Z,pstart_plane_max_Z,pstart_plane_sum_Z4,pstart_plane_mean_mass,pstart_plane_max_mass,pstart_plane_heavy_frac,pmid_grdf_gauss_mean,pmid_grdf_gauss_std,pmid_grdf_gauss_max,pmid_grdf_trig_mean,pmid_grdf_trig_std,pmid_grdf_trig_max,pmid_grdf_bessel_mean,pmid_grdf_bessel_std,pmid_grdf_bessel_max,pmid_n_atoms_on_plane,pmid_afs_gauss_mean,pmid_afs_gauss_std,pmid_afs_gauss_max,pmid_afs_trig_mean,pmid_afs_trig_std,pmid_afs_trig_max,pmid_afs_bessel_mean,pmid_afs_bessel_std,pmid_afs_bessel_max,pmid_plane_mean_Z,pmid_plane_max_Z,pmid_plane_sum_Z4,pmid_plane_mean_mass,pmid_plane_max_mass,pmid_plane_heavy_frac,pend_grdf_gauss_mean,pend_grdf_gauss_std,pend_grdf_gauss_max,pend_grdf_trig_mean,pend_grdf_trig_std,pend_grdf_trig_max,pend_grdf_bessel_mean,pend_grdf_bessel_std,pend_grdf_bessel_max,pend_n_atoms_on_plane,pend_afs_gauss_mean,pend_afs_gauss_std,pend_afs_gauss_max,pend_afs_trig_mean,pend_afs_trig_std,pend_afs_trig_max,pend_afs_bessel_mean,pend_afs_bessel_std,pend_afs_bessel_max,pend_plane_mean_Z,pend_plane_max_Z,pend_plane_sum_Z4,pend_plane_mean_mass,pend_plane_max_mass,pend_plane_heavy_frac,pline_grdf_gauss_mean,pline_grdf_gauss_std,pline_grdf_gauss_max,pline_grdf_trig_mean,pline_grdf_trig_std,pline_grdf_trig_max,pline_grdf_bessel_mean,pline_grdf_bessel_std,pline_grdf_bessel_max,pline_n_atoms_on_plane,pline_plane_mean_Z,pline_plane_max_Z,pline_plane_sum_Z4,pline_plane_mean_mass,pline_plane_max_mass,pline_plane_heavy_frac,ppoint_n_atoms,ppoint_plane_mean_Z,ppoint_plane_max_Z,ppoint_plane_sum_Z4,ppoint_plane_mean_mass,ppoint_plane_max_mass,ppoint_plane_heavy_frac,plane_angle_deg,max_Z,max_Z4,max_mass,radius_mean,radius_diff,X_mean,X_diff,n_elements,mean_Z,sum_Z4,E_pfrac_VBM,E_pfrac_CBM,E_pfrac_relevant
ISbSe,df0019ec24b5,M->K,2.431,0,1.061,0.0,0.5025132594315503,120.00000004774289,-0.2512566300784055,0.435189248196878,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.16666666666666666,3,6,12,21,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,46.0,53,15992018,109.20815666666665,126.90447,1.0,0,0,0,0,0,0,0,29.99999996031551,53,7890481,126.90447,1.3333333333333333,0.30000000000000004,2.42,0.6100000000000003,3,46.0,15992018,0.8444249438246081,0.8702194028528185,0.8444249438246081
ISbSe,df0019ec24b5,G->M,1.589,1,1.061,0.0,0.870378498346051,30.000000031626122,0.7537698902352165,0.43518924958909133,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1,3,6,10,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,53,7890481,126.90447,1.3333333333333333,0.30000000000000004,2.42,0.6100000000000003,3,46.0,15992018,0.8444249438246081,0.8702194028528185,0.8702194028528185
ISbSe,df0019ec24b5,G->K,1.616,1,1.061,0.0,1.0050265200687927,59.99999999194163,0.502513260156811,0.8703784977859693,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,6,12,19,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.5023757202788407,0.2072723374753904,0.7487678814887715,-1.558212418985983,0.2753106447696209,-1.3390300966537332,-0.07938306704660492,0.13404669865085395,0.09444730507048908,3,-6.106258696131495e-05,0.0018851965355150097,0.0016453584606825396,0.17422698963552494,0.13935886320615595,0.2952892926928906,-0.00437753397644854,0.008395613910779075,0.0029531874247628563,46.0,53,15992018,109.20815666666665,126.90447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,53,7890481,126.90447,1.3333333333333333,0.30000000000000004,2.42,0.6100000000000003,3,46.0,15992018,0.8444249438246081,0.8702194028528185,0.8702194028528185
BrSbTe,f1e78a09001d,M->K,1.315,0,1.331,0.13,0.5094793582155445,120.00000004255001,-0.2547396794354405,0.4412220667292743,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.16666666666666666,3,6,12,21,0.4723772167481722,0.1441154363023931,0.6716845601954047,-1.84588587496748,0.10066478863658267,-1.7697417410307712,-0.0670856223558023,0.09319476260302677,0.06310519664246758,3,0.013157672002290483,0.007689450019017817,0.024006731381449178,0.39497593216470106,0.12937391531237982,0.5015043061426547,-0.0020752521899806676,0.002115289212593462,0.00014648257102428772,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4723772167481722,0.1441154363023931,0.6716845601954047,-1.84588587496748,0.10066478863658267,-1.7697417410307712,-0.0670856223558023,0.09319476260302677,0.06310519664246758,3,0.013157672002290483,0.007689450019017817,0.024006731381449178,0.39497593216470106,0.12937391531237982,0.5015043061426547,-0.0020752521899806676,0.002115289212593462,0.00014648257102428772,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4723772167481722,0.1441154363023931,0.6716845601954047,-1.84588587496748,0.10066478863658267,-1.7697417410307712,-0.0670856223558023,0.09319476260302677,0.06310519664246758,3,0.013157672002290483,0.007689450019017817,0.024006731381449178,0.39497593216470106,0.12937391531237982,0.5015043061426547,-0.0020752521899806676,0.002115289212593462,0.00014648257102428772,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4723772167481722,0.1441154363023931,0.6716845601954047,-1.84588587496748,0.10066478863658267,-1.7697417410307712,-0.0670856223558023,0.09319476260302677,0.06310519664246758,3,46.0,52,15577442,109.75466666666667,127.6,1.0,0,0,0,0,0,0,0,29.999999959765375,52,7311616,127.6,1.3333333333333333,0.30000000000000004,2.37,0.9100000000000001,3,46.0,15577442,0.882771812071691,0.9164275283284804,0.882771812071691
BrSbTe,18e62ba75259,G->M,2.631,0,1.089,0.0,0.8565291377334029,30.000000064766162,0.7417759918746044,0.42826456970519217,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1,3,6,10,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,52,7311616,127.6,1.3333333333333333,0.30000000000000004,2.37,0.9100000000000001,3,46.0,15577442,0.83517716605127,0.8451200771706139,0.83517716605127
BrSbTe,18e62ba75259,G->K,2.454,0,1.089,0.0,0.9890346566015895,60.00000002571311,0.4945173279164029,0.8565291380621239,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,6,12,19,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.4848756379616706,0.16791479879138238,0.721719387413394,-1.6024948916350372,0.26853063252955517,-1.4099344084064436,-0.08307454955702331,0.12067906867665212,0.08739817685768626,3,0.0005336712437148327,0.001273802732197618,0.0014835748486103084,0.1946983915644024,0.144459387948922,0.2996164496450919,-0.004389861870121057,0.0032005239816731987,-1.8127557724668472e-05,46.0,52,15577442,109.75466666666667,127.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,52,7311616,127.6,1.3333333333333333,0.30000000000000004,2.37,0.9100000000000001,3,46.0,15577442,0.83517716605127,0.8451200771706139,0.83517716605127
ClSbSe,f705a30af945,M->K,1.483,0,1.68,0.146,0.5345228435310069,119.99999996677256,-0.26726142149704857,0.46291036155593906,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.16666666666666666,3,6,12,21,0.6921758754493618,0.18108792877753638,0.9410672578039416,-1.8994537212259688,0.021495104171605373,-1.8707371906356771,0.05431372375595014,0.0964786564307309,0.18800481252879372,3,0.03652638513551521,0.012223465521826946,0.05364491278367018,0.44042054233098865,0.15316658174919223,0.5772990971243277,-0.003384464188040389,0.003977573024424865,0.0020310657658632963,34.0,51,8185058,78.72433333333333,121.76,0.6666666666666666,0.6921758754493618,0.18108792877753638,0.9410672578039416,-1.8994537212259688,0.021495104171605373,-1.8707371906356771,0.05431372375595014,0.0964786564307309,0.18800481252879372,3,0.03652638513551521,0.012223465521826946,0.05364491278367018,0.44042054233098865,0.15316658174919223,0.5772990971243277,-0.003384464188040389,0.003977573024424865,0.0020310657658632963,34.0,51,8185058,78.72433333333333,121.76,0.6666666666666666,0.6921758754493618,0.18108792877753638,0.9410672578039416,-1.8994537212259688,0.021495104171605373,-1.8707371906356771,0.05431372375595014,0.0964786564307309,0.18800481252879372,3,0.03652638513551521,0.012223465521826946,0.05364491278367018,0.44042054233098865,0.15316658174919223,0.5772990971243277,-0.003384464188040389,0.003977573024424865,0.0020310657658632963,34.0,51,8185058,78.72433333333333,121.76,0.6666666666666666,0.6921758754493618,0.18108792877753638,0.9410672578039416,-1.8994537212259688,0.021495104171605373,-1.8707371906356771,0.05431372375595014,0.0964786564307309,0.18800481252879372,3,34.0,51,8185058,78.72433333333333,121.76,0.6666666666666666,0,0,0,0,0,0,0,29.999999999999993,51,6765201,121.76,1.2,0.44999999999999996,2.5866666666666664,1.1100000000000003,3,34.0,8185058,0.8438826392372596,0.9143032462366278,0.8438826392372596
SSeW,001e03f2c095,G->M,3.284,1,1.417,0.01,1.1154489482335206,30.00000005146582,0.9660071252938872,0.5577244749844742,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1,3,6,10,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,74,29986576,183.84,1.1666666666666667,0.3500000000000001,2.4966666666666666,0.2200000000000002,3,41.333333333333336,31388448,0.224009385476083,0.1944202818853834,0.1944202818853834
SSeW,001e03f2c095,G->K,3.288,1,1.417,0.01,1.2880095023957492,60.000000051465825,0.6440047501959247,1.1154489499689486,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,6,12,19,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,1.1920101588384204,0.2759497009136277,1.578934972493832,-1.7165314425675142,0.10020069119510282,-1.5807777534717378,0.305669788323987,0.133279180206461,0.4920952852953909,3,0.1017346656287368,0.008759702411011537,0.11040448176772717,0.3729423454452537,0.2025311514399956,0.5532019578068554,-0.0007048850173507895,0.006628527395812251,0.008660003760474861,41.333333333333336,74,31388448,98.28833333333334,183.84,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,74,29986576,183.84,1.1666666666666667,0.3500000000000001,2.4966666666666666,0.2200000000000002,3,41.333333333333336,31388448,0.224009385476083,0.1944202818853834,0.1944202818853834
BiBrTe,f4f45fcade85,M->K,0.498,0,0.916,0.117,0.4960869002361393,120.00000005740532,-0.2480434505485149,0.42962385784065543,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.16666666666666666,3,6,12,21,0.41359560264293993,0.12612441515493825,0.588236697030342,-1.8355599959706386,0.11382194674472035,-1.7534460616403398,-0.09824965425576271,0.08614932167779007,0.022223010889631595,3,0.010493310738260332,0.006583295700988876,0.019786999658274067,0.3890483201319814,0.1125214262290734,0.4807339192019346,-0.000760745090876114,0.0014234330405352698,0.0004971787328405059,56.666666666666664,83,56270562,138.82813333333334,208.9804,1.0,0.41359560264293993,0.12612441515493825,0.588236697030342,-1.8355599959706386,0.11382194674472035,-1.7534460616403398,-0.09824965425576271,0.08614932167779007,0.022223010889631595,3,0.010493310738260332,0.006583295700988876,0.019786999658274067,0.3890483201319814,0.1125214262290734,0.4807339192019346,-0.000760745090876114,0.0014234330405352698,0.0004971787328405059,56.666666666666664,83,56270562,138.82813333333334,208.9804,1.0,0.41359560264293993,0.12612441515493825,0.588236697030342,-1.8355599959706386,0.11382194674472035,-1.7534460616403398,-0.09824965425576271,0.08614932167779007,0.022223010889631595,3,0.010493310738260332,0.006583295700988876,0.019786999658274067,0.3890483201319814,0.1125214262290734,0.4807339192019346,-0.000760745090876114,0.0014234330405352698,0.0004971787328405059,56.666666666666664,83,56270562,138.82813333333334,208.9804,1.0,0.41359560264293993,0.12612441515493825,0.588236697030342,-1.8355599959706386,0.11382194674472035,-1.7534460616403398,-0.09824965425576271,0.08614932167779007,0.022223010889631595,3,56.666666666666664,83,56270562,138.82813333333334,208.9804,1.0,0,0,0,0,0,0,0,29.999999960822986,83,47458321,208.9804,1.3833333333333335,0.4500000000000002,2.36,0.94,3,56.666666666666664,56270562,0.9275593381609089,0.9381112972308486,0.9275593381609089
