uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,radius_mean,max_mass,max_Z
001e03f2c095,SSeW,3.288,0.224009385476083,0.1944202818853834,1.1666666666666667,183.84,74
03bcf7dcdaf2,Sn2Te2,4.804,0.6785544244677716,0.8358953535587912,1.4249999999999998,127.6,52
04fdd7d1ec5c,ClSbTe,1.018,0.8840911585585108,0.92019295831051,1.2833333333333332,127.6,52
05a06afa3b20,WMo3Se8,1.643,0.2290036829903243,0.17766113078223,1.3166666666666669,183.84,74
0b7696e1f4c9,CrW3Se8,1.756,0.1813042425403861,0.1534142461286447,1.3,183.84,74
0c0fbdaf8f4a,ClSbSe,2.682,0.7943110472668419,0.8322172034831463,1.2,121.76,51
0f02957b17cf,ISbTe,3.658,0.848391125348033,0.8724804784156919,1.4166666666666667,127.6,53
114b3382699c,AsITe,0.579,0.9466262309905492,0.9096856795947482,1.3166666666666669,127.6,53
11db0908d9ef,BiBrSe,0.393,0.9198579768745668,0.9316661883508596,1.3,208.9804,83
159f028a85d0,CrMo3Te8,0.896,0.2569664710702297,0.1252595031050306,1.4166666666666667,127.6,52
1667d1443160,TiHf3Te8,1.512,0.7032942480989642,0.1550792284914078,1.45,178.49,72
18e377cce57f,Ti2Zr2Te8,1.855,0.6431649598769135,0.1240123504437783,1.45,127.6,52
18e62ba75259,BrSbTe,2.631,0.83517716605127,0.8451200771706139,1.3333333333333333,127.6,52
1a3bdd1b142a,HgTe,0.618,0.8163718961430929,0.6004465462984125,1.45,200.59,80
1a3be826b3e0,AsClSe,3.717,0.8229245148495816,0.8258043654001617,1.1,78.96,34
1dcd471c2288,AsBrS,3.109,0.81239137651136,0.8750866369111423,1.1,79.904,35
20f098bd3f31,O2Pb2,1.914,0.8829775241595053,0.8990904811171163,1.2,207.2,82
211bcb7f05d6,GeSe,0.94,0.9034063151276184,0.7457842356027244,1.2,78.96,34
24d6cc0a0fed,MoW3Se8,2.097,0.2110720286877839,0.1880903063476812,1.3166666666666669,183.84,74
287dcf4f1a19,Bi2P2S6,1.406,0.8599441662300487,0.9027750754848928,1.2,208.9804,83
2d41b3dd1772,BiITe,2.086,0.9040246564075758,0.919259222337323,1.4666666666666668,208.9804,83
2ea941c8bc3c,MoSTe,2.525,0.2656621523829215,0.2434765337283689,1.2833333333333334,127.6,52
2f6f133abcc8,MoW3S8,2.241,0.2120919784501239,0.2250064564826057,1.2666666666666666,183.84,74
304bc6a92d82,BiBrTe,1.13,0.8941369584845804,0.9109066585302884,1.3833333333333335,208.9804,83
323fb700d903,WMo3Te8,1.501,0.3014358700618786,0.1389700062296471,1.3999999999999997,183.84,74
343d2125478e,ISbSe,1.17,0.8991816494298284,0.9133427007098202,1.3333333333333333,126.90447,53
3995fa1bee6e,Pb2Te6,3.064,0.8986972744902609,0.8492620158711233,1.6,207.2,82
3bc08d486d65,PbTe,2.18,0.9311785526870192,0.7994363268899549,1.6,207.2,82
