model,best_params,KF_Acc,KF_Prec,KF_Rec,KF_F1,KF_AUC,LOO_Acc,LOO_Prec,LOO_Rec,LOO_F1,LOO_AUC,csv,threshold,n_features,n_pos,n_neg
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.9189873417721519,0.8888888888888888,0.8953488372093024,0.9746835443037974,0.9333333333333333,0.8765822784810127,best_combo_0_w10_radius_mean,1.0,3,79,20
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.8927215189873419,0.8787878787878788,0.8850574712643678,0.9746835443037974,0.927710843373494,0.8772151898734177,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.8927215189873419,0.8787878787878788,0.8850574712643678,0.9746835443037974,0.927710843373494,0.8772151898734177,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.8927215189873419,0.8787878787878788,0.8850574712643678,0.9746835443037974,0.927710843373494,0.8772151898734177,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.8927215189873419,0.8787878787878788,0.8850574712643678,0.9746835443037974,0.927710843373494,0.8772151898734177,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.898989898989899,0.9058823529411765,0.9746835443037974,0.9390243902439024,0.8063291139240507,0.8686868686868687,0.8928571428571429,0.9493670886075949,0.9202453987730062,0.8234177215189873,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.898989898989899,0.9058823529411765,0.9746835443037974,0.9390243902439024,0.8056962025316456,0.8686868686868687,0.8928571428571429,0.9493670886075949,0.9202453987730062,0.8221518987341773,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.8888888888888888,0.8953488372093024,0.9746835443037974,0.9333333333333333,0.8506329113924052,0.8686868686868687,0.8928571428571429,0.9493670886075949,0.9202453987730062,0.8234177215189873,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.898989898989899,0.9058823529411765,0.9746835443037974,0.9390243902439024,0.8063291139240507,0.8686868686868687,0.8928571428571429,0.9493670886075949,0.9202453987730062,0.8221518987341773,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
XGBoost,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 3}",0.9191919191919192,0.9080459770114943,1.0,0.9518072289156626,0.9132911392405063,0.8585858585858586,0.8823529411764706,0.9493670886075949,0.9146341463414634,0.8696202531645569,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8888888888888888,0.9146341463414634,0.9493670886075949,0.9316770186335404,0.8629746835443038,0.8585858585858586,0.8823529411764706,0.9493670886075949,0.9146341463414634,0.820886075949367,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 100}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.7765822784810127,0.8585858585858586,0.891566265060241,0.9367088607594937,0.9135802469135802,0.8044303797468355,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 100}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.7765822784810127,0.8585858585858586,0.891566265060241,0.9367088607594937,0.9135802469135802,0.8044303797468355,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 100}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.7765822784810127,0.8585858585858586,0.891566265060241,0.9367088607594937,0.9135802469135802,0.8044303797468355,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 100}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.7765822784810127,0.8585858585858586,0.891566265060241,0.9367088607594937,0.9135802469135802,0.8044303797468355,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
GradientBoosting,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8585858585858586,0.8651685393258427,0.9746835443037974,0.9166666666666666,0.8129746835443038,0.8484848484848485,0.8478260869565217,0.9873417721518988,0.9122807017543859,0.7525316455696203,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 7, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.898989898989899,0.9058823529411765,0.9746835443037974,0.9390243902439024,0.8753164556962024,0.8484848484848485,0.8809523809523809,0.9367088607594937,0.9079754601226994,0.8493670886075949,best_combo_0_w10_radius_mean,1.0,3,79,20
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.7996835443037974,0.8484848484848485,0.8809523809523809,0.9367088607594937,0.9079754601226994,0.7689873417721519,best_combo_0_w10_radius_mean,1.0,3,79,20
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 50}",0.8585858585858586,0.9012345679012346,0.9240506329113924,0.9125,0.7661392405063291,0.8484848484848485,0.8902439024390244,0.9240506329113924,0.906832298136646,0.7525316455696203,best_combo_0_w10_radius_mean,1.0,3,79,20
GradientBoosting,"{'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8787878787878788,0.9036144578313253,0.9493670886075949,0.9259259259259259,0.8151898734177215,0.8484848484848485,0.8902439024390244,0.9240506329113924,0.906832298136646,0.8177215189873417,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
SVM_RBF,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8383838383838383,0.8539325842696629,0.9620253164556962,0.9047619047619048,0.6810126582278481,0.8383838383838383,0.8461538461538461,0.9746835443037974,0.9058823529411765,0.6886075949367088,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 100}",0.8686868686868687,0.9024390243902439,0.9367088607594937,0.9192546583850931,0.7914556962025316,0.8383838383838383,0.8888888888888888,0.9113924050632911,0.9,0.7962025316455695,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8686868686868687,0.8928571428571429,0.9493670886075949,0.9202453987730062,0.7677215189873419,0.8383838383838383,0.8888888888888888,0.9113924050632911,0.9,0.790506329113924,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
GradientBoosting,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8686868686868687,0.9024390243902439,0.9367088607594937,0.9192546583850931,0.7455696202531645,0.8383838383838383,0.8888888888888888,0.9113924050632911,0.9,0.7962025316455696,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
