uid,Formula,alpha_R,A_WM_VBM_w005,A_WM_CBM_w005,B_WMp_VBM_w005,B_WMp_CBM_w005,C_pfrac_h1_VBM_w005,C_pfrac_h1_CBM_w005,C_pfrac_h2_VBM_w005,C_pfrac_h2_CBM_w005,D_wm_h1_VBM_w005,D_wm_h1_CBM_w005,D_wm_h2_VBM_w005,D_wm_h2_CBM_w005,E_pfrac_VBM_w005,E_pfrac_CBM_w005,F_ph1_VBM_w005,F_ph1_CBM_w005,F_ph2_VBM_w005,F_ph2_CBM_w005,A_WM_VBM_w01,A_WM_CBM_w01,B_WMp_VBM_w01,B_WMp_CBM_w01,C_pfrac_h1_VBM_w01,C_pfrac_h1_CBM_w01,C_pfrac_h2_VBM_w01,C_pfrac_h2_CBM_w01,D_wm_h1_VBM_w01,D_wm_h1_CBM_w01,D_wm_h2_VBM_w01,D_wm_h2_CBM_w01,E_pfrac_VBM_w01,E_pfrac_CBM_w01,F_ph1_VBM_w01,F_ph1_CBM_w01,F_ph2_VBM_w01,F_ph2_CBM_w01,A_WM_VBM_w05,A_WM_CBM_w05,B_WMp_VBM_w05,B_WMp_CBM_w05,C_pfrac_h1_VBM_w05,C_pfrac_h1_CBM_w05,C_pfrac_h2_VBM_w05,C_pfrac_h2_CBM_w05,D_wm_h1_VBM_w05,D_wm_h1_CBM_w05,D_wm_h2_VBM_w05,D_wm_h2_CBM_w05,E_pfrac_VBM_w05,E_pfrac_CBM_w05,F_ph1_VBM_w05,F_ph1_CBM_w05,F_ph2_VBM_w05,F_ph2_CBM_w05
001e03f2c095,SSeW,3.288,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,156.254245634959,163.83866559851717,11.231431712660203,10.633720667509015,0.1703321099677704,0.15351653531473347,0.46631114982247485,0.6892223381800142,146.08367357300907,153.10963812545018,6.036605520439628,9.040284500355988,0.20400847704719796,0.15385139487932922,1.9130734615763416,1.6324519543806588,5.237341836083187,7.328997822013705
03bcf7dcdaf2,Sn2Te2,4.804,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,123.63792228390164,120.9402270751847,80.64030610626484,97.44292997609733,0.8389764925311415,0.14028157886273884,0.16102350746885857,0.8597184211372612,70.73148295003963,32.010908300738805,52.90643933386202,88.92931877444589,0.6395982024848003,0.8128259452411994,67.65532117367167,13.669448066058235,12.984984932593179,83.7734819100391
04fdd7d1ec5c,ClSbTe,1.018,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,105.54850465525308,105.82027613577637,95.68386487663982,95.9674831742255,0.7144530432506538,0.3494440639807067,0.20467812958460363,0.5775754098389295,69.446700982686,40.56906319782352,28.136849273070535,57.940809938469656,0.9148500153292562,0.915593217033476,68.36162845109966,33.53526733040145,19.58439449437659,55.428458425563875
05a06afa3b20,WMo3Se8,1.643,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,109.47668725692061,101.23836170786075,14.025005719514981,13.43317149646033,0.02698973790970471,0.021120154193143625,0.05164518060202307,0.05563439349143177,34.34820407229467,17.56754378659089,61.70654770075497,69.24939470396589,0.1732631739495157,0.16640129338853102,0.37853122855181887,0.28371065330818407,0.7243239533287577,0.7473463488719594
0b7696e1f4c9,CrW3Se8,1.756,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,116.37476517965632,102.02780481418918,11.724681270612743,9.08597115461049,0.08437286267524842,0.11560214013213609,0.9094688232157809,0.8747311716839121,84.46875195278598,65.49665341812401,11.129234507897936,8.959888712241652,0.1418156570039924,0.10805842607313194,0.9892449227564661,1.0503577106518283,10.66323207776428,7.947782193958663
0c0fbdaf8f4a,ClSbSe,2.682,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.22761433860651,101.5932211863653,54.26726089700437,87.92206791098253,0.15122953297039754,0.8887391613062384,0.666121409437875,0.08349354920767009,30.707412992258494,79.1977094212016,36.31269673510602,18.153523054681504,0.804787950185123,0.8035844885051758,8.206812521036687,78.13978489551675,36.14858431504543,7.340925503565732
0f02957b17cf,ISbTe,3.658,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,126.08152767598,124.1821878130401,104.42619265516959,105.05233357921779,0.5220371851785094,0.18082447549667172,0.4175459241710705,0.17394068319609193,55.10869655609797,31.37549047296648,44.38565458846725,24.327554318001045,0.8226314474507389,0.8495579375490312,54.51435567261346,18.99603311916345,43.60273111986904,18.27287467411289
114b3382699c,AsITe,0.579,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125.6409706230883,101.26793755183624,123.71666566499783,91.98459166043442,0.19156535985595646,0.372314863757764,0.7991234755403531,0.23154593416239647,24.36639469537674,40.91691874614528,99.2620991013559,23.080279815138752,0.9801604016191612,0.9225852152289535,23.699827578294364,34.2472307118682,98.86489184847694,21.29865820456187
11db0908d9ef,BiBrSe,0.393,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,98.15003247160482,154.38753682700417,76.2726078381969,147.04324244254494,0.115181552987811,0.8096869196313851,0.33440349350868775,0.0659976691979189,30.356736833536914,121.02277298959113,25.657090014668434,11.117143022617574,0.8929259186275378,0.9226721473281861,8.785197421233805,119.05899002591515,25.505826520111164,9.70451127251247
159f028a85d0,CrMo3Te8,0.896,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.73177938863947,73.3244898463511,18.773191937618392,8.7517884752983,0.9577110108716558,0.9370775253553987,0.038192332135863795,0.05395361003926081,18.906401639982356,9.040213412742723,47.01276591327814,34.870679322538614,0.14985598256221294,0.07070331079264634,17.97929262786413,8.201104286866428,0.7169919817318421,0.47219058254234136
