uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,156.254245634959,163.83866559851717
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,123.63792228390164,120.9402270751847
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,105.54850465525308,105.82027613577637
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,109.47668725692061,101.23836170786075
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,116.37476517965632,102.02780481418918
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,77.22761433860651,101.5932211863653
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,126.08152767598,124.1821878130401
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,125.6409706230883,101.26793755183624
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,98.15003247160482,154.38753682700417
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,84.73177938863947,73.3244898463511
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,130.22090555565018,117.40807887483945
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,105.85773727971079,72.1895373733442
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,110.38316619583051,118.6116201635047
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,153.22006370436105,154.3308004235045
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,63.53652649522799,69.76990069681773
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,56.63695777846068,71.02255489957652
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,69.33283369226793,137.07265107436612
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,77.00364031456328,75.2439172614832
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,144.77904691773617,133.32727798681947
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,48.671716607025374,115.21329577149459
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,142.16213118738975,169.3444187519196
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,91.94688342334454,96.40190365651156
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,135.79884154438616,126.45411903200812
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,139.6874945480882,165.93081500867098
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,117.21213899385049,111.13312033557634
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,113.37555936224211,108.70295669111152
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,139.68894186201865,145.95284457473645
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,143.52744885157549,176.89246720429557
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,92.96069896318977,105.43460580439559
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,55.06989577338479,52.06461766572957
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,124.36010835050139,156.54386638125374
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,123.15678418828992,160.79693331428786
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,117.0949582735689,104.41564736346518
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,76.47197496010116,153.17372135781218
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,114.43986105726103,95.3218863548029
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,106.5488582561242,100.45995976428074
