uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,B_WMp_VBM,B_WMp_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,11.231431712660203,10.633720667509015
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,80.64030610626484,97.44292997609733
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,95.68386487663982,95.9674831742255
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,14.025005719514981,13.43317149646033
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,11.724681270612743,9.08597115461049
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,54.26726089700437,87.92206791098253
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,104.42619265516959,105.05233357921779
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,123.71666566499783,91.98459166043442
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,76.2726078381969,147.04324244254494
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,18.773191937618392,8.7517884752983
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,96.33570228554382,26.96078450128769
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,84.10360781744237,20.04535644865042
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,89.65162401580511,96.06848120683043
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,101.98689317106155,91.54946885477325
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,51.13282461028632,55.73787020549466
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,43.152472348146254,62.59124281321811
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,36.35373849589109,120.97398330354801
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,71.06476131114155,54.580701535634326
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,15.416673679781189,15.351657132914283
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,38.47266097549996,109.53028000887946
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,118.63439049136265,157.41421678835684
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,17.478395854619762,22.21228320173506
