uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,0.22238830121046863,0.15634783025132978,0.4391094387180135,0.6938505317493202
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,0.7866533247811673,0.13295021445592328,0.21334667521883266,0.8670497855440766
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,0.7035496736341746,0.3554700415385989,0.16531098003428105,0.5866181906273402
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.043166719326293984,0.036352780832164956,0.07171887826005384,0.06385683925589428
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.12311129133245104,0.13394137545443965,0.8720043084459179,0.8549365229797358
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,0.1327688493841756,0.8313120716022381,0.6579369731230661,0.13689549113668184
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,0.460154858654451,0.22698130495362792,0.4934962355792344,0.17621872640245145
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,0.2526792101527626,0.3672706710951392,0.7326565135750237,0.2246645506148315
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,0.09667507784802618,0.7363620012947782,0.44208873032283713,0.09199140399221695
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,0.9295675285111101,0.9384658717868487,0.06444782113350596,0.052470987917505194
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,0.09883587118964458,0.17342092745696214,0.8966530011926747,0.8178889381750654
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,0.9776553447643396,0.9637231990435263,0.012163810574659123,0.0208557462140829
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,0.5862775367938932,0.26963767393432186,0.12202743291325115,0.6528554863642942
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,0.1859563792259459,0.20022643965300618,0.8140436207740541,0.7997735603469938
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,0.6507482038328919,0.17297746879521442,0.09514397305134557,0.7591690866975092
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,0.6450196769729192,0.23987753354357214,0.04792385407284173,0.7110999174393562
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,0.6024477396442371,0.9463614888918341,0.39755226035576297,0.05363851110816581
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,0.7707785130413475,0.4444420813336111,0.2292214869586526,0.5555579186663888
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,0.1034537947669803,0.1152437898406549,0.019276130422750375,0.02131029974203559
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,0.3498893636748771,0.8742788918454515,0.5955180126929766,0.10190619065307799
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,0.094506141349644,0.6492557456225931,0.46899555244018226,0.2466232698108641
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,0.6946723807498082,0.8579987008209125,0.09652080505209824,0.03911613961003718
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.22174662600583825,0.23924436493179543,0.04256627928290237,0.04590938351072017
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,0.2146693849374178,0.6821565143171925,0.5981070467178079,0.2708526633747904
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.03446493005915295,0.03093628807915332,0.9117152028726929,0.9210442273884423
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,0.7446724049675226,0.21039787247054098,0.02383534661449358,0.5705722849148209
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,0.1360893318587982,0.21409280205042847,0.8639106681412018,0.7859071979495715
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,0.2848423940113663,0.6698998061232646,0.7151576059886338,0.3301001938767354
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,0.13322053121930497,0.3027594158512337,0.8610009473814206,0.6804013872253866
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.1028323749017315,0.030565240847946467,0.06339381523203484,0.10342307664781578
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,0.038491641085213225,0.772549375650349,0.9035901250059302,0.16487866467487752
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,0.028066868586885757,0.6900874265301091,0.7615628675771122,0.14696503128730548
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.1353921159732662,0.17070216654607753,0.08952286330135922,0.09068530199839549
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,0.1401188142264372,0.8822301481133058,0.501529835121864,0.08022658445934026
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,0.8945377156442328,0.24502714786153387,0.030286375315552866,0.662597052283363
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,0.9753817450274498,0.9595980249489618,0.011512674675601494,0.025796115352490403
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,0.07802573744574419,0.8251959625641478,0.5930453821043872,0.14920957000575383
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,0.9772137369327313,0.9618777987597942,0.017903195594895786,0.029682340639428234
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,0.6781735631485272,0.3852888215838968,0.15650746025396134,0.5579347623437614
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.010169633419896386,0.02246949937094965,0.966903683494216,0.9198192360947974
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.1250473528405054,0.08807611962445445,0.86309897020346,0.8914085769791361
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.26755934151055083,0.16975103064840522,0.02476741628146776,0.051928752673479184
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,0.7934890944102916,0.2725969501499537,0.05149894493730596,0.693111485025984
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,0.09597753034891826,0.09438362679037983,0.8873177305128486,0.8899142893485199
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,0.07218303597178297,0.4015027817170871,0.9129171459515968,0.5131752299567018
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,0.684569747852024,0.3591380345775086,0.2911834570915035,0.14193834136303285
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,0.5776872242227059,0.8919540760446736,0.422312775777294,0.1080459239553264
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,0.07475328769871961,0.04063160179694481,0.9148159208788005,0.9324423714793793
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,0.08945472251937533,0.08075249986811775,0.8981171396144045,0.9038087607779179
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,0.1899531028849065,0.16119534710339908,0.012057217600710457,0.03377923736869721
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,0.04649254523846723,0.027953127720516134,0.9315077887026615,0.9415102609326782
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,0.4434135556017985,0.37773382124532623,0.4912506563183908,0.167578975902306
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,0.15689966309979847,0.11885712247915474,0.41138520230609155,0.6264859085906845
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,0.05104209151106982,0.7433905399077361,0.6388253467005707,0.13967471814917476
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,0.04659493902473711,0.13326045771791997,0.022711519342576876,0.06857745691343632
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,0.20012388732743724,0.08674852063756947,0.027899703278820857,0.06771469548071753
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,0.24656167192024478,0.14115225569554604,0.5029751691495606,0.7721925368282551
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,0.5290391989673778,0.9529792795487956,0.4709608010326222,0.0470207204512045
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,0.20249590253786337,0.7708502197083655,0.6403031909222129,0.19042360853750528
