uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,max_mass,max_Z,max_Z4,X_diff,X_mean,radius_diff,radius_mean,WM_VBM,WZ4_VBM,pZ4_VBM,Wr_VBM,WX_VBM,WM_CBM,WZ4_CBM,pZ4_CBM,Wr_CBM,WX_CBM
001e03f2c095,SSeW,3.288,0.20400847704719796,0.15385139487932922,183.84,74,29986576,0.2200000000000002,2.4966666666666666,0.3500000000000001,1.1666666666666667,156.254245634959,23938666.554935515,409024.80161939195,1.2895861107291413,2.4028891799649674,163.83866559851717,25130525.446196284,393728.49012779514,1.3086684258155714,2.393340043520429
03bcf7dcdaf2,Sn2Te2,4.804,0.6395982024848003,0.8128259452411994,127.6,52,7311616,0.14000000000000012,2.0300000000000002,0.050000000000000044,1.4249999999999998,123.63792228390164,6838477.0689928625,4560372.554269098,1.4222839016653448,2.037605075337034,120.9402270751847,6516326.743155149,5193890.251629726,1.4374565406345066,1.995121686223381
04fdd7d1ec5c,ClSbTe,1.018,0.9148500153292562,0.915593217033476,127.6,52,7311616,1.1100000000000003,2.436666666666667,0.44999999999999996,1.2833333333333332,105.54850465525308,5561467.13033095,5023566.763687413,1.321689284043051,2.3265878689106545,105.82027613577637,5561166.478591141,5017809.381234704,1.3413131027488763,2.2947787929908046
05a06afa3b20,WMo3Se8,1.643,0.1732631739495157,0.16640129338853102,183.84,74,29986576,0.3899999999999997,2.3566666666666665,0.30000000000000004,1.3166666666666667,109.47668725692061,7831148.341950736,303932.93006939674,1.3803210554411651,2.2636612521924806,101.23836170786075,5355573.78262254,280412.0238101071,1.3856514709844938,2.2503422090488203
0b7696e1f4c9,CrW3Se8,1.756,0.1418156570039924,0.10805842607313194,183.84,74,29986576,0.8899999999999999,2.19,0.25,1.3,116.37476517965632,14098823.09599028,342285.6226349593,1.3417896198576638,2.1070716889428915,102.02780481418918,11010879.032591416,306396.72893481713,1.3538180643879172,2.0103805643879173
0c0fbdaf8f4a,ClSbSe,2.682,0.804787950185123,0.8035844885051758,121.76,51,6765201,1.1100000000000003,2.5866666666666664,0.44999999999999996,1.2,77.22761433860651,2344769.144353753,1091122.026682935,1.1824713901043418,2.599530966004712,101.5932211863653,4717592.339300327,4471575.488953159,1.3271846750264147,2.297766586643004
0f02957b17cf,ISbTe,3.658,0.8226314474507389,0.8495579375490312,127.6,53,7890481,0.6100000000000003,2.27,0.050000000000000044,1.4166666666666667,126.08152767598,7394764.090053214,6185342.771352772,1.410917861584845,2.2849457401428297,124.1821878130401,7115274.556588563,5990804.137431933,1.4281205416483544,2.179231314579252
114b3382699c,AsITe,0.579,0.9801604016191612,0.9225852152289535,127.6,53,7890481,0.56,2.3133333333333335,0.25,1.3166666666666667,125.6409706230883,7599849.521386064,7523336.3527379185,1.3932847242105226,2.5401695150812964,101.26793755183624,4369587.079423371,3863461.619627203,1.2756341996481912,2.2416449791721664
11db0908d9ef,BiBrSe,0.393,0.8929259186275378,0.9226721473281861,208.9804,83,47458321,0.94,2.5100000000000002,0.4500000000000002,1.3,98.15003247160482,8088822.4007583335,3184584.586494812,1.2153675252563954,2.604662148370272,154.38753682700417,28068925.940024137,27529278.462277032,1.4105997875653222,2.3001151718755457
159f028a85d0,CrMo3Te8,0.896,0.14985598256221294,0.07070331079264634,127.6,52,7311616,0.5000000000000002,1.9733333333333334,0.050000000000000044,1.4166666666666667,84.73177938863947,2728197.5086799697,1053978.1135013103,1.424501128785323,1.9702057762669638,73.3244898463511,1836683.3714250263,485747.7888206463,1.4181731703786424,1.8729048534855348
