uid,Formula,alpha_R,window,E_pfrac_VBM,E_pfrac_CBM
001dfe9a7fa2,ZrSe2,1.998,1.0,0.8848824449589197,0.08202947483604033
0155c4de2320,SnBr2,1.316,1.0,0.719395331597775,0.8907364176845408
06ebe3806790,Ir2O2,4.665,1.0,0.15624945743701935,0.3088257778202841
08401460f377,HfSe2,3.599,1.0,0.871769546161085,0.11947647203698855
14411dde597c,PbI2,1.534,1.0,0.8878367890705183,0.8983645067290953
1e2c6946ca41,HfTe2,1.458,1.0,0.8114782295758091,0.10344552633562573
204ef2affa10,GeBr2,2.998,1.0,0.761638972721341,0.8629845974470018
2e44a755e594,ZrS2,2.008,1.0,0.9009510573825437,0.07423214207263285
3d4bfe131291,HfS2,2.471,1.0,0.8901303649677795,0.13856520233138545
49f279264c91,CaBr2,0.376,1.0,0.9743657143493649,0.04617917063182465
512afaae525a,HfO2,1.614,1.0,0.9538476461458872,0.3094710973168226
694ac91aec01,GeI2,3.425,1.0,0.7917463675426872,0.8419301327888559
6e4ac7453419,HfO2,0.703,1.0,0.9751423825560982,0.13957098510187776
740bf2751050,O2Rh2,4.914,1.0,0.24701999867995508,0.21190839694656488
7c2657e15a6f,HgI2,0.311,1.0,0.9189603462200944,0.4787549230247444
7f0ca28e3229,SnI2,3.076,1.0,0.7658844154801615,0.8696958594498532
a4c9c803de7d,SrBr2,0.244,1.0,0.9763976879525819,0.1628347386155276
bf30e1249164,OsBr2,4.625,1.0,0.1836534371625822,0.17331932773109246
cabd4ba0f21c,PbBr2,1.684,1.0,0.8314565294133979,0.9053921840098946
ccc95033446d,PbF2,2.465,1.0,0.6956971066853491,0.9499649093836436
d37ba63794ad,OsCl2,3.244,1.0,0.17216212615695603,0.19979023967059856
dbf3271b4bb1,PbTe2,2.615,1.0,0.9515958409233672,0.7459403729292053
dd6289af8e01,Ir2S2,2.202,1.0,0.25258439690938295,0.3084382881269916
f5965c8b3d89,HgF2,0.85,1.0,0.6294683758593715,0.3605261386312867
f9d58a299674,PbCl2,1.036,1.0,0.7890909539859501,0.9364703171546601
