uid,Formula,alpha_R,window,E_pfrac_VBM,E_pfrac_CBM
248fffac5959,Ag2Se2,0,1.0,0.656241577988567,0.6575310200851294
648de0a225fe,Ag2Te2,0,1.0,0.8999538898653078,0.696276754957173
fab8ea0c0979,Al2Br6,0,1.0,0.9955211093458739,0.45863800530223797
450a3fc3ff50,Al2Cl6,0,1.0,0.9983411235472633,0.419320691268629
29ae3f5ef5a7,Al2I6,0,1.0,0.9917467752218629,0.5470670043657742
4fcd8dcb9c90,AlN,0,1.0,0.9996952471144567,0.14813463890374645
d57228736661,Au2Te2,0,1.0,0.7979279435222036,0.5830307530327875
e20476acac18,BaI2,0,1.0,0.9553308393165659,0.05562841321250113
2b3b022fdf0a,Bi2Br6,0,1.0,0.953630214118961,0.9485746883268686
3e134cb61e06,Bi2Cl6,0,1.0,0.9357959240202001,0.9619785297994314
01a2d5e89adc,Bi2I6,0,1.0,0.9652308058118356,0.9569515907023087
d13cbee86f79,Bi2Se2,0,1.0,0.9011094433569093,0.8978577613672305
23a0796492d1,Bi2Te2,0,1.0,0.8998189706685773,0.8957379113137156
4a5edc763604,BN,0,1.0,1.0000000000000002,0.9560784349812829
0a5e44762c75,BP,0,1.0,1.0,1.0
b10aab79a70e,Br2S2Tl2,0,1.0,0.9427030673461032,0.5739226664734783
55e6ef39650c,CaCl2,0,1.0,0.9783837583692585,0.0453966153921706
9632fda9fd46,CaF2,0,1.0,0.9839727409534729,0.08891794454610293
ebcb2404504e,Cd2P2S6,0,1.0,0.9218131489454731,0.3655278187098262
0460cce85156,Cd2P2Se6,0,1.0,0.927505199945698,0.569929686207544
3394b92523be,Cd2Se2,0,1.0,0.8901029069160306,0.2196202439415356
f25f251c7be8,Cd2Se4,0,1.0,0.9134067314371628,0.7773602549337851
ed3311682142,Cd2Te2,0,1.0,0.9005578666928507,0.2687120359963107
9d0130e99f0c,Cl2In2,0,1.0,0.48799043833128997,0.7410974773269436
ac7333c6ab94,Cu2I2,0,1.0,0.3138284537415529,0.38418890940955325
ed5f6e977271,Cu2S2,0,1.0,0.29044421084574756,0.5412382626109008
91367f7f5dce,Fe2P2S6,0,1.0,0.07897063413886495,0.3054380393073701
c67fbd722c30,FeF2,0,1.0,0.13213426456424945,0.1338535945057032
