uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,E_pfrac_VBM,E_pfrac_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,0.224009385476083,0.19442028188538346
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,0.6785544244677716,0.8358953535587912
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,0.8840911585585108,0.9201929583105101
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.22900368299032436,0.17766113078223006
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.18130424254038618,0.1534142461286447
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,0.7943110472668419,0.8322172034831463
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,0.848391125348033,0.8724804784156919
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,0.9466262309905493,0.9096856795947482
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,0.9198579768745667,0.9316661883508595
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,0.25696647107022974,0.12525950310503062
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,0.7032942480989642,0.15507922849140787
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,0.6431649598769135,0.12401235044377834
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,0.83517716605127,0.8451200771706139
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,0.8163718961430929,0.6004465462984125
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,0.8229245148495816,0.8258043654001617
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,0.81239137651136,0.8750866369111423
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,0.8829775241595053,0.8990904811171163
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,0.9034063151276183,0.7457842356027244
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,0.21107202868778394,0.18809030634768126
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,0.8599441662300487,0.9027750754848929
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,0.9040246564075758,0.919259222337323
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,0.2656621523829215,0.24347653372836892
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.21209197845012398,0.22500645648260575
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,0.8941369584845804,0.9109066585302883
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.3014358700618786,0.13897000622964714
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,0.8991816494298284,0.9133427007098202
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,0.8986972744902609,0.8492620158711233
