uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,1.9130734615763416,1.6324519543806588,5.237341836083187,7.328997822013705
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,67.65532117367167,13.669448066058235,12.984984932593179,83.7734819100391
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,68.36162845109966,33.53526733040145,19.58439449437659,55.428458425563875
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.37853122855181887,0.28371065330818407,0.7243239533287577,0.7473463488719594
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.9892449227564661,1.0503577106518283,10.66323207776428,7.947782193958663
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,8.206812521036687,78.13978489551675,36.14858431504543,7.340925503565732
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,54.51435567261346,18.99603311916345,43.60273111986904,18.27287467411289
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,23.699827578294364,34.2472307118682,98.86489184847694,21.29865820456187
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,8.785197421233805,119.05899002591515,25.505826520111164,9.70451127251247
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,17.97929262786413,8.201104286866428,0.7169919817318421,0.47219058254234136
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,11.708566037469199,7.580660818826688,84.23761131573774,19.026054515294106
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,81.84735652959782,18.840987215822697,1.3949481066425666,0.6890818017053679
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,51.75247647754466,22.538294421213347,12.570689513584165,67.37267547965874
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,23.531010818120357,18.830753485089115,78.4558823529412,72.71871536968413
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,33.858391304347826,6.865325107629488,5.761137348886533,45.310093719763884
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,26.76485586535354,16.116799048386113,1.6183757305054391,45.48864223799548
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,24.91544642386982,115.14242664018842,11.43829207202127,5.831556663359592
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,53.97423891821821,22.12339120772336,17.090522392923344,32.45731032791097
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,1.5858278981695773,1.28352524088131,0.3330549126867241,0.3359579789894947
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,13.408414764955419,95.33005765124258,22.16422685265345,11.055750694392968
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,15.300382058963518,106.0510615663828,68.53538651062519,34.59433198380566
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,12.658804067532719,18.89633671083398,1.0222770398481975,0.972112236944661
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.8971675187570546,1.3295535554628364,0.17836265852201047,0.36408058651725583
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,32.08217873679479,110.0581784959798,78.19606902924501,35.5159703610279
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.2724160924649922,0.305248623612689,18.312306438467807,14.779431967141486
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,79.48691324600917,22.570834457482963,2.115310720262764,53.98126910893174
