Formula,uid,spacegroup,ehull,bandgap,band,kpath,Rashba_parameter,SS,dE,anticrossing
HfO2,512afaae525a,P-6m2 (187),0.77,1.903,C,M->K,1.614,0.229,0.04,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,V,G->M,0.85,0.161,0.0,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,V,G->X,0.761,0.119,0.035,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,V,X->G,0.324,0.115,0.035,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,V,X->M,0.534,0.104,0.083,False
PbCl2,f9d58a299674,P-4m2 (115),0.142,2.165,C,G->M,1.036,0.181,0.0,False
PbCl2,f9d58a299674,P-4m2 (115),0.142,2.165,C,G->X,1.031,0.178,0.001,False
PbCl2,f9d58a299674,P-4m2 (115),0.142,2.165,C,M->X,0.559,0.282,0.911,False
HfS2,3d4bfe131291,P-4m2 (115),0.333,2.11,C,X->G,2.471,0.268,0.647,False
HfS2,3d4bfe131291,P-4m2 (115),0.333,2.11,C,M->X,1.102,0.12,0.028,True
ZrSe2,001dfe9a7fa2,P-4m2 (115),0.319,1.452,C,X->G,1.998,0.101,0.521,False
O2Rh2,740bf2751050,P-6m2 (187),0.246,0.057,V,M->K,4.914,0.11,0.0,True
PbTe2,dbf3271b4bb1,P-4m2 (115),0.423,0.085,V,M->G,2.615,0.186,0.031,False
PbTe2,dbf3271b4bb1,P-4m2 (115),0.423,0.085,V,G->M,2.556,0.171,0.031,True
PbTe2,dbf3271b4bb1,P-4m2 (115),0.423,0.085,V,G->X,2.21,0.177,0.028,True
PbTe2,dbf3271b4bb1,P-4m2 (115),0.423,0.085,C,X->M,0.846,0.104,0.101,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,V,M->G,0.951,0.244,0.0,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,V,X->G,0.503,0.092,0.338,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,V,M->X,0.931,0.229,0.037,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,C,G->M,0.971,0.129,0.0,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,C,G->X,0.943,0.126,0.001,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,C,X->M,1.534,0.284,0.804,False
ZrS2,2e44a755e594,P-4m2 (115),0.31,1.938,C,X->G,2.008,0.084,0.596,False
Ir2O2,06ebe3806790,P-6m2 (187),0.51,0.099,V,M->K,4.665,0.265,0.012,True
Ir2O2,06ebe3806790,P-6m2 (187),0.51,0.099,C,M->K,1.059,0.102,0.0,True
HgI2,7c2657e15a6f,P-4m2 (115),0.0,1.512,C,M->G,0.311,0.145,0.823,False
OsBr2,bf30e1249164,P-4m2 (115),0.677,0.092,V,X->G,2.633,0.121,0.0,True
OsBr2,bf30e1249164,P-4m2 (115),0.677,0.092,C,X->G,4.625,0.286,0.085,True
SnBr2,0155c4de2320,P-4m2 (115),0.136,1.284,V,G->X,1.316,0.09,0.824,False
SrBr2,a4c9c803de7d,P-4m2 (115),0.21,4.583,V,M->G,0.191,0.092,0.012,False
SrBr2,a4c9c803de7d,P-4m2 (115),0.21,4.583,V,M->X,0.244,0.092,0.0,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,V,M->G,1.341,0.309,0.0,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,V,X->G,0.637,0.139,0.532,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,V,X->M,3.425,0.283,0.08,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,C,X->M,2.307,0.16,1.134,False
HfO2,6e4ac7453419,P-4m2 (115),0.51,4.494,C,X->G,0.703,0.113,0.546,False
Ir2S2,dd6289af8e01,P-6m2 (187),0.305,0.135,C,M->K,2.202,0.164,0.0,True
PbF2,ccc95033446d,P-4m2 (115),0.243,2.767,C,M->G,0.488,0.104,0.816,False
PbF2,ccc95033446d,P-4m2 (115),0.243,2.767,C,X->G,2.465,0.082,0.0,False
