Formula,uid,sets,alpha,is_split,proba_split,pred,correct
In2Br6,d59933910be2,unmatched,0.0,0,0.007,0,True
Tl2Br6,ef8df28dd878,unmatched,0.0,0,0.008,0,True
Se2Si2,aa0e94e8944e,unmatched,0.0,0,0.009,0,True
Tl2Cl6,a7ad562f5ed6,unmatched,0.0,0,0.009,0,True
Al2Cl6,450a3fc3ff50,unmatched,0.0,0,0.014,0,True
Y2Br6,6d976a1e88b3,unmatched,0.0,0,0.015,0,True
Sc2I6,d59c550c4a3a,unmatched,0.0,0,0.017,0,True
Sc2Br6,a43351c43cd3,unmatched,0.0,0,0.017,0,True
Te2Tl2,44ffc9d405b8,unmatched,0.0,0,0.018,0,True
Y2Cl6,e9b63ba77c55,unmatched,0.0,0,0.021,0,True
P2Zr2S6,f821141337d6,unmatched,0.0,0,0.021,0,True
S2Sn2,7edb67bf350a,unmatched,0.0,0,0.021,0,True
Bi2Cl6,3e134cb61e06,unmatched,0.0,0,0.022,0,True
Cu2S2,ed5f6e977271,unmatched,0.0,0,0.022,0,True
Y2I6,d2a7ba833570,unmatched,0.0,0,0.023,0,True
In2Cl6,89b069b9f428,unmatched,0.0,0,0.023,0,True
Bi2Br6,2b3b022fdf0a,unmatched,0.0,0,0.025,0,True
Ga2Br6,e9e5bee778b6,unmatched,0.0,0,0.025,0,True
Al2Br6,fab8ea0c0979,unmatched,0.0,0,0.029,0,True
In2I6,d90f9a6ab379,unmatched,0.0,0,0.03,0,True
Se2Tl2,16490f81af26,unmatched,0.0,0,0.03,0,True
AlN,4fcd8dcb9c90,unmatched,0.0,0,0.032,0,True
In2Te2,3cf9ea4cebc4,unmatched,0.0,0,0.033,0,True
Cd2P2S6,ebcb2404504e,unmatched,0.0,0,0.04,0,True
CaF2,9632fda9fd46,unmatched,0.0,0,0.04,0,True
Ag2Te2,648de0a225fe,unmatched,0.0,0,0.042,0,True
Pb2Se2,a346b1c50933,unmatched,0.0,0,0.042,0,True
Tl2I6,8b75f770fbf8,unmatched,0.0,0,0.042,0,True
Sc2Cl6,3eef25de07b3,unmatched,0.0,0,0.044,0,True
HgF2,f5965c8b3d89,dresselhaus,0.85,1,0.044,0,False
Pb2S2,fdff29051b6d,unmatched,0.0,0,0.045,0,True
Cl2In2,9d0130e99f0c,unmatched,0.0,0,0.049,0,True
S2Tl2,fb0b06c4bab6,unmatched,0.0,0,0.049,0,True
Br2S2Tl2,b10aab79a70e,unmatched,0.0,0,0.049,0,True
Fe2P2S6,91367f7f5dce,unmatched,0.0,0,0.05,0,True
Au2Te2,d57228736661,unmatched,0.0,0,0.05,0,True
P2Rh2Te6,0f1f68e6fa79,unmatched,0.0,0,0.051,0,True
BP,0a5e44762c75,unmatched,0.0,0,0.053,0,True
Ag2Se2,248fffac5959,unmatched,0.0,0,0.055,0,True
Cd2Te2,ed3311682142,unmatched,0.0,0,0.062,0,True
SrCl2,e03e4067ecb2,unmatched,0.0,0,0.064,0,True
P2Ru2Te6,dc750358a911,unmatched,0.0,0,0.067,0,True
BaI2,e20476acac18,unmatched,0.0,0,0.068,0,True
Re2I6,04979b21e197,unmatched,0.0,0,0.071,0,True
P2Sn2S6,aa34f4a1c451,unmatched,0.0,0,0.075,0,True
Ir2P2S6,2ddba2a8216d,unmatched,0.0,0,0.079,0,True
