Formula,uid,sets,alpha,is_split,pred,proba
HgTe,1a3bdd1b142a,rashba,0.618,1,0,0.4855348
AsClSe,1a3be826b3e0,rashba,3.717,1,0,0.3758285
GeSe,211bcb7f05d6,rashba,0.94,1,0,0.11990761
Bi2Te2,23a0796492d1,unmatched,0.0,0,1,0.5260522
Bi2P2S6,287dcf4f1a19,rashba,1.406,1,0,0.44171026
ZrS2,2e44a755e594,dresselhaus,2.008,1,0,0.41795674
CaBr2,49f279264c91,dresselhaus,0.376,1,0,0.21134053
Ga2P2Te6,4cb4ea247ef4,rashba,3.828,1,0,0.31543863
HfO2,6e4ac7453419,dresselhaus,0.703,1,0,0.16761766
HgI2,7c2657e15a6f,dresselhaus,0.311,1,0,0.2883862
P2Pb2S6,7cf77f91eef0,unmatched,0.0,0,1,0.85268134
P2Sb2Te6,82b85dfd7723,rashba,2.596,1,0,0.49997014
HgBr2,978e95bef964,unmatched,0.0,0,1,0.74392325
P2Ta2Se6,e2c90519357b,unmatched,0.0,0,1,0.84732646
Ge2P2Te6,e8f4b479deef,unmatched,0.0,0,1,0.8541862
Te2Ti2,ecf4b958e9a1,unmatched,0.0,0,1,0.68763053
W2Cl6,eea8aee9e120,unmatched,0.0,0,1,0.79744613
HgF2,f5965c8b3d89,dresselhaus,0.85,1,0,0.04432376
