n_atoms,a,b,c,gamma,vac_axis,slab_thick,vacuum,inplane_min,inplane_max,min_bond,avg_nbr_4A,avg_nbr_5A,avg_nbr_6A,avg_nbr_7A,avg_nbr_8A,Formula,uid
3,3.252,3.252,18.232,120.0,2,3.251,14.981,3.252,3.252,2.427,10.67,18.67,32.67,50.67,58.67,SSeW,001e03f2c095
4,4.581,4.546,17.11,90.0,2,3.155,13.955,4.546,4.581,2.92,5.0,13.0,17.0,23.0,41.0,Sn2Te2,03bcf7dcdaf2
3,4.072,4.072,18.232,120.0,2,3.648,14.584,4.072,4.072,2.968,4.67,10.67,18.67,26.67,36.67,ClSbTe,04fdd7d1ec5c
12,6.641,5.75,18.342,90.0,2,3.342,15.0,5.75,6.641,2.539,10.67,18.67,32.67,42.67,58.67,WMo3Se8,05a06afa3b20
12,6.6,5.712,18.391,90.0,2,3.391,15.0,5.712,6.6,2.464,10.67,18.67,32.67,42.67,58.67,CrW3Se8,0b7696e1f4c9
3,4.032,4.032,19.5,120.0,2,3.248,16.252,4.032,4.032,2.801,6.0,16.0,18.0,36.0,36.0,ClSbSe,0c0fbdaf8f4a
3,4.318,4.318,19.5,120.0,2,3.705,15.795,4.318,4.318,3.002,4.0,12.0,16.0,26.0,36.0,ISbTe,0f02957b17cf
3,3.961,3.961,18.232,120.0,2,3.807,14.426,3.961,3.961,2.839,10.67,12.67,18.67,32.67,42.67,AsITe,114b3382699c
3,4.077,4.077,18.232,120.0,2,3.714,14.519,4.077,4.077,2.879,4.67,12.67,18.67,26.67,36.67,BiBrSe,11db0908d9ef
12,7.063,6.116,18.688,90.0,2,3.688,15.0,6.116,7.063,2.649,10.67,15.67,26.67,33.33,54.67,CrMo3Te8,159f028a85d0
12,7.748,6.696,18.732,90.0,2,3.732,15.0,6.696,7.748,2.834,10.67,14.67,18.67,32.67,42.67,TiHf3Te8,1667d1443160
12,7.682,6.625,18.714,90.0,2,3.714,15.0,6.625,7.682,2.826,10.67,14.67,18.67,32.67,42.67,Ti2Zr2Te8,18e377cce57f
3,4.235,4.235,19.5,120.0,2,3.509,15.991,4.235,4.235,2.989,4.0,12.0,16.0,26.0,36.0,BrSbTe,18e62ba75259
2,4.732,4.732,15.513,120.0,2,0.513,15.0,4.732,4.732,2.779,3.0,9.0,12.0,12.0,18.0,HgTe,1a3bdd1b142a
3,3.756,3.756,19.5,120.0,2,3.087,16.413,3.756,3.756,2.618,12.0,16.0,26.0,36.0,50.0,AsClSe,1a3be826b3e0
3,3.717,3.717,19.5,120.0,2,3.141,16.359,3.717,3.717,2.513,12.0,16.0,26.0,36.0,50.0,AsBrS,1dcd471c2288
4,3.401,6.081,17.111,90.0,2,2.154,14.956,3.401,6.081,2.118,6.0,13.0,19.0,31.0,38.0,O2Pb2,20f098bd3f31
2,3.666,3.666,16.445,120.0,2,1.447,14.998,3.666,3.666,2.564,9.0,12.0,18.0,24.0,36.0,GeSe,211bcb7f05d6
12,6.641,5.75,18.352,90.0,2,3.352,15.0,5.75,6.641,2.544,10.67,18.67,32.67,42.67,58.67,MoW3Se8,24d6cc0a0fed
10,6.726,7.104,18.246,118.3,2,3.236,15.011,6.726,7.104,2.036,8.2,15.8,20.8,33.2,43.8,Bi2P2S6,287dcf4f1a19
3,4.422,4.422,19.5,120.0,2,3.773,15.727,4.422,4.422,3.069,4.0,12.0,16.0,22.0,36.0,BiITe,2d41b3dd1772
3,3.319,3.319,19.5,120.0,2,3.478,16.022,3.319,3.319,2.414,12.0,16.0,32.0,42.0,58.0,MoSTe,2ea941c8bc3c
12,6.374,5.52,18.139,90.0,2,3.139,15.0,5.52,6.374,2.415,12.67,18.67,32.67,50.67,58.67,MoW3S8,2f6f133abcc8
3,4.343,4.343,19.5,120.0,2,3.565,15.935,4.343,4.343,3.056,4.0,12.0,16.0,26.0,36.0,BiBrTe,304bc6a92d82
12,7.101,6.148,18.614,90.0,2,3.614,15.0,6.148,7.101,2.729,10.67,14.67,26.67,32.67,54.67,WMo3Te8,323fb700d903
3,4.053,4.053,18.232,120.0,2,3.861,14.371,4.053,4.053,2.839,4.67,12.67,18.67,26.67,32.67,ISbSe,343d2125478e
8,6.383,4.796,21.949,90.0,2,6.867,15.083,4.796,6.383,2.741,5.0,14.0,18.5,25.5,44.5,Pb2Te6,3995fa1bee6e
2,4.324,4.324,16.669,120.0,2,1.685,14.985,4.324,4.324,3.012,3.0,9.0,12.0,18.0,24.0,PbTe,3bc08d486d65
