cv_r2,f1,f2
0.394201876775635,grdf_gauss_3.8_std,grdf_gauss_5.0_mean
0.37787380174197827,grdf_gauss_5.0_mean,grdf_bessel_n1_std
0.3718716474226509,grdf_gauss_2.6_std,grdf_bessel_n1_std
0.34721363356269397,grdf_gauss_2.6_std,grdf_gauss_4.4_mean
0.3156581749548256,grdf_gauss_2.6_std,angle_mean
0.3087188229339535,grdf_gauss_3.8_std,grdf_bessel_n1_std
0.30725534281685285,grdf_gauss_5.0_mean,angle_mean
0.304131798349642,angle_mean,angle_std
0.300303161545281,grdf_bessel_n0_std,angle_mean
0.29931655263359014,grdf_gauss_4.4_mean,grdf_gauss_5.0_mean
0.29731415373953396,grdf_gauss_2.0_mean,angle_mean
0.29520810396206965,grdf_cos_k2_std,grdf_bessel_n1_std
0.2914565259217662,grdf_gauss_3.8_std,grdf_cos_k3_mean
0.29072757064408006,grdf_gauss_2.6_std,grdf_gauss_4.4_std
0.2869836784217761,afs_m3_mean,angle_mean
0.2857729535647271,grdf_cos_k1_mean,angle_mean
0.2856970245139887,grdf_gauss_4.4_std,grdf_gauss_5.0_mean
0.27813523335216794,grdf_gauss_2.0_mean,grdf_bessel_n1_std
0.27704741847508974,grdf_gauss_2.6_std,grdf_gauss_3.8_std
0.27603020644474674,grdf_cos_k1_std,angle_mean
0.26977227993235364,grdf_gauss_2.0_std,angle_mean
0.26957713355809176,grdf_bessel_n1_std,angle_mean
0.269411944829801,grdf_bessel_n1_std,coord_num
0.2677586732741781,grdf_cos_k2_std,angle_mean
0.26584049594887815,grdf_gauss_3.8_std,afs_m1_mean
0.26579366768463175,grdf_gauss_3.8_std,grdf_cos_k2_std
0.26452459267525996,grdf_bessel_n1_std,afs_m3_std
0.2640982623199696,grdf_gauss_3.2_mean,grdf_bessel_n1_std
0.26113965160699026,grdf_cos_k1_mean,grdf_cos_k2_std
0.25872232692949737,grdf_gauss_3.8_std,afs_m3_mean
0.25698362230368876,grdf_gauss_3.8_std,grdf_gauss_4.4_std
0.25551259244499813,grdf_gauss_3.8_std,grdf_gauss_4.4_mean
0.2516570700581703,grdf_gauss_3.8_std,angle_mean
0.24924105858457768,grdf_gauss_3.8_std,coord_num
0.2478814745948279,grdf_cos_k2_std,afs_m1_mean
0.24711651783096555,grdf_gauss_2.0_mean,grdf_gauss_3.8_std
0.24640188282773234,grdf_gauss_4.4_mean,grdf_cos_k2_std
0.2447928296914591,grdf_gauss_3.2_mean,angle_mean
0.24328621502350312,grdf_gauss_5.0_mean,angle_std
0.24150954063168362,grdf_gauss_4.4_std,grdf_bessel_n1_std
0.24033565363281917,afs_m1_std,angle_mean
0.23776799128293247,grdf_bessel_n2_mean,angle_mean
0.23647394972635483,grdf_gauss_2.6_mean,angle_mean
0.23618547015441982,grdf_gauss_4.4_mean,grdf_bessel_n1_std
0.2350534824838506,grdf_cos_k3_std,grdf_bessel_n1_std
0.23459200569138094,grdf_bessel_n1_std,bond_std
0.2340009160641443,grdf_cos_k1_mean,grdf_bessel_n1_std
0.23362596878094788,grdf_gauss_2.6_std,grdf_gauss_5.0_mean
0.23235227809223902,coord_num,angle_mean
0.22827862302671398,afs_m2_mean,angle_mean
0.22600869015989478,grdf_gauss_2.0_std,grdf_bessel_n1_std
0.22338108478653584,grdf_cos_k2_std,grdf_cos_k3_mean
0.22110265915313132,grdf_gauss_3.8_std,grdf_cos_k1_mean
0.22007062428164592,grdf_gauss_2.6_mean,grdf_bessel_n1_std
0.2167406142619811,grdf_cos_k2_mean,angle_mean
0.21588937180458834,bond_std,angle_mean
0.21572465241860883,grdf_gauss_3.8_std,grdf_cos_k1_std
0.21368315127017545,grdf_gauss_4.4_mean,afs_m3_std
0.2132562354110208,grdf_bessel_n0_mean,angle_mean
0.21238533259101167,grdf_gauss_4.4_mean,angle_mean
0.21165554900085481,grdf_gauss_5.0_mean,grdf_cos_k1_mean
0.21042244099401597,grdf_cos_k3_mean,angle_mean
