target,n,cv_r2,loo_r2,loo_mae,features
alpha_max,2,0.496,0.461,0.531,"old_E_pfrac_CBM, grdf_gauss_5.0_mean"
alpha_max,3,0.608,0.602,0.459,"old_E_pfrac_CBM, pmid_afs_gauss_std, grdf_gauss_5.0_mean"
alpha_max,4,0.589,0.628,0.442,"old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull, grdf_gauss_5.0_mean"
alpha_max,5,0.626,0.577,0.467,"old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_gauss_5.0_mean"
alpha_max,6,0.604,0.606,0.441,"old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean"
alpha_max,7,0.612,0.637,0.432,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_gauss_5.0_mean"
alpha_max,8,0.612,0.606,0.447,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_gauss_5.0_mean, afs_m3_mean"
alpha_max,9,0.595,0.615,0.436,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_bessel_n1_std, grdf_gauss_5.0_mean, afs_m3_mean"
alpha_max,10,0.579,0.624,0.442,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_gauss_5.0_mean, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
alpha_min,2,0.248,0.183,0.501,"old_E_pfrac_CBM, grdf_bessel_n1_std"
alpha_min,3,0.434,0.389,0.455,"old_E_pfrac_VBM, grdf_bessel_n1_std, afs_m3_mean"
alpha_min,4,0.469,0.39,0.458,"old_E_pfrac_VBM, old_kpath_angle_deg, grdf_bessel_n1_std, afs_m3_mean"
alpha_min,5,0.489,0.485,0.415,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, afs_m3_mean"
alpha_min,6,0.49,0.466,0.409,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean, afs_m3_mean"
alpha_min,7,0.522,0.421,0.434,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean, afs_m3_mean, afs_m3_std"
alpha_min,8,0.501,0.462,0.425,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
alpha_min,9,0.446,0.368,0.452,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_bessel_n1_std, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
alpha_min,10,0.438,0.361,0.449,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_bessel_n1_std, grdf_gauss_5.0_mean, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
alpha_mean,2,0.368,0.335,0.457,"old_E_pfrac_CBM, grdf_bessel_n1_std"
alpha_mean,3,0.577,0.578,0.401,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std"
alpha_mean,4,0.634,0.665,0.349,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std"
alpha_mean,5,0.629,0.632,0.356,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull"
alpha_mean,6,0.653,0.653,0.341,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean, afs_m3_mean"
alpha_mean,7,0.655,0.659,0.354,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_gauss_5.0_mean, afs_m3_std"
alpha_mean,8,0.641,0.632,0.348,"old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg, grdf_bessel_n1_std, grdf_gauss_5.0_mean, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
alpha_mean,9,0.633,0.598,0.375,"old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_gauss_5.0_mean, afs_m3_mean, afs_m3_std"
alpha_mean,10,0.603,0.624,0.371,"old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, grdf_bessel_n1_std, grdf_gauss_5.0_mean, zw_grdf_gauss_3.8_std, afs_m3_mean, afs_m3_std"
