cv_r2,feature
0.2180725822848868,grdf_bessel_n1_std
0.19676997793871176,grdf_gauss_3.8_std
0.15112403612862269,angle_mean
0.07808970450880437,grdf_gauss_5.0_mean
0.048342878078402984,grdf_gauss_2.6_std
0.04800636427089611,grdf_cos_k2_std
0.008267033944273638,coord_num
-0.038603137174368474,grdf_gauss_4.4_mean
-0.047207989930554195,grdf_gauss_4.4_std
-0.04879923800653896,grdf_cos_k3_mean
-0.055456719582478664,afs_m1_mean
-0.07753762228708294,grdf_cos_k3_std
-0.07803899483278709,grdf_bessel_n0_std
-0.0926506988972211,grdf_cos_k1_std
-0.09954356686030996,angle_std
-0.10021209346133486,grdf_cos_k1_mean
-0.1053187134824527,grdf_gauss_2.0_mean
-0.11164637147578271,afs_m1_std
-0.12760613637189766,afs_m2_std
-0.13009998877007023,afs_m3_mean
-0.18475940652656808,bond_std
-0.18624127277041702,grdf_gauss_2.0_std
-0.1914686685984941,afs_m3_std
-0.2045564569468472,grdf_gauss_3.2_mean
-0.20721025211688682,grdf_bessel_n2_std
-0.25194690151536125,grdf_gauss_2.6_mean
-0.2554634920405412,bond_mean
-0.311145225108165,grdf_bessel_n2_mean
-0.33582091623018195,grdf_cos_k2_mean
-0.3538349444003217,grdf_gauss_3.2_std
-0.36370259232299484,grdf_gauss_3.8_mean
-0.36729626901661017,afs_m2_mean
-0.42186719570224374,grdf_bessel_n1_mean
-0.44749364862653085,grdf_bessel_n0_mean
-0.4983633303210473,grdf_gauss_5.0_std
