Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE,anticrossing
HgS,5256ed7d716e,P3m1 (156),0.146,0.056,V,G->M,0.017,0.006,False
HgS,5256ed7d716e,P3m1 (156),0.146,0.056,V,G->K,0.035,0.0,False
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,V,G->M,0.002,0.493,True
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,V,G->K,0.003,0.492,True
BrSbTe,18e62ba75259,P3m1 (156),0.0,1.089,C,G->K,0.167,1.381,False
ClSbSe,f705a30af945,P3m1 (156),0.146,1.68,V,G->M,0.073,0.104,False
ClSbSe,f705a30af945,P3m1 (156),0.146,1.68,V,G->K,0.107,0.0,False
SSeW,001e03f2c095,P3m1 (156),0.01,1.417,V,M->G,0.019,1.265,False
TiSe2,0684166af1fd,P-4m2 (115),0.261,0.864,V,G->X,0.01,0.909,False
TiSe2,0684166af1fd,P-4m2 (115),0.261,0.864,C,M->G,0.015,0.0,False
TiSe2,0684166af1fd,P-4m2 (115),0.261,0.864,C,M->X,0.02,0.057,False
SnBr2,8d365ca62c55,P-6m2 (187),0.086,2.514,C,M->K,0.069,0.08,False
BiBrTe,f4f45fcade85,P3m1 (156),0.117,0.916,V,G->M,0.013,0.782,False
TiO2,badf6957f0bb,P-4m2 (115),0.213,3.422,V,M->G,0.014,0.098,False
TiO2,badf6957f0bb,P-4m2 (115),0.213,3.422,V,X->M,0.015,0.023,False
TiO2,badf6957f0bb,P-4m2 (115),0.213,3.422,V,M->X,0.015,0.023,False
TiO2,badf6957f0bb,P-4m2 (115),0.213,3.422,C,X->G,0.014,1.037,False
GeSe2,8af45b2cf14e,P-4m2 (115),0.051,0.556,V,G->X,0.029,0.349,False
GeSe2,8af45b2cf14e,P-4m2 (115),0.051,0.556,V,X->M,0.006,0.883,False
GeSe2,8af45b2cf14e,P-4m2 (115),0.051,0.556,C,G->M,0.175,1.404,False
GeSe2,8af45b2cf14e,P-4m2 (115),0.051,0.556,C,G->X,0.039,0.328,False
ZrSe2,f17029facf63,P-6m2 (187),0.144,0.734,V,G->K,0.097,0.0,False
SrF2,c99805c05244,P-4m2 (115),0.376,6.025,C,X->M,0.001,6.025,False
AsBrSe,206b9dcf2af6,P3m1 (156),0.161,1.49,C,M->K,0.058,0.433,False
Al2Te2,e54041554385,P-6m2 (187),0.0,1.763,C,M->K,0.097,0.388,False
Ga2S2,ac002f4ce724,P-6m2 (187),0.0,2.305,C,M->K,0.012,0.656,False
STeW,75ee10091f43,P3m1 (156),0.086,1.168,V,M->G,0.046,0.951,False
MoSTe,2ea941c8bc3c,P3m1 (156),0.223,0.196,C,M->G,0.011,0.252,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,V,M->G,0.161,0.0,False
HgF2,f5965c8b3d89,P-4m2 (115),0.162,1.995,C,X->G,0.002,0.0,False
CdBr2,bb3c9722fb14,P-4m2 (115),0.02,2.939,V,X->M,0.01,0.0,False
CdBr2,bb3c9722fb14,P-4m2 (115),0.02,2.939,C,X->M,0.004,0.0,False
SnO2,96a036411ab6,P-4m2 (115),0.434,2.065,V,M->G,0.01,0.101,False
SnO2,96a036411ab6,P-4m2 (115),0.434,2.065,V,G->M,0.01,0.118,False
GeO2,21281ac194c2,P-4m2 (115),0.152,2.944,V,M->G,0.014,0.166,False
GeO2,21281ac194c2,P-4m2 (115),0.152,2.944,C,X->M,0.003,4.194,False
Sn2Te2,03bcf7dcdaf2,Pmn2_1 (31),0.063,0.595,C,S->Y,0.006,0.153,False
Sn2Te2,03bcf7dcdaf2,Pmn2_1 (31),0.063,0.595,C,Y->S,0.006,0.153,False
Sn2Te2,03bcf7dcdaf2,Pmn2_1 (31),0.063,0.595,C,S->G,0.012,0.412,False
AsISe,ca926a42865b,P3m1 (156),0.174,0.519,C,M->K,0.07,0.547,False
SeTeW,6e2a4c6f4f57,P3m1 (156),0.042,1.058,V,M->G,0.033,1.041,False
Pb2S2,d4ed2cd9ee0c,Pmn2_1 (31),0.054,1.341,V,Y->G,0.003,0.001,False
Pb2S2,d4ed2cd9ee0c,Pmn2_1 (31),0.054,1.341,C,S->Y,0.014,0.211,False
Pb2S2,d4ed2cd9ee0c,Pmn2_1 (31),0.054,1.341,C,Y->S,0.014,0.211,False
Pb2S2,d4ed2cd9ee0c,Pmn2_1 (31),0.054,1.341,C,Y->G,0.012,0.0,False
Pb2S2,d4ed2cd9ee0c,Pmn2_1 (31),0.054,1.341,C,S->G,0.005,0.649,False
ZrO2,da3987f48688,P-4m2 (115),0.464,4.378,V,X->G,0.004,0.683,False
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,C,C->H1,0.003,0.094,False
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,C,X->H1,0.003,0.094,False
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,V,M->G,0.053,0.025,False
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,C,G->M,0.143,0.781,False
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,C,G->K,0.232,0.923,False
CdF2,14736784891b,P-4m2 (115),0.208,3.802,C,X->M,0.001,0.0,False
BrClTi,d3f135b9cf41,P3m1 (156),0.015,0.826,C,M->G,0.01,0.047,False
CrS2,c5ee5e35d2b4,P-6m2 (187),0.0,0.899,C,M->K,0.017,0.273,False
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,V,G->M,0.051,0.037,False
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,V,M->K,0.099,0.236,False
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,V,G->K,0.057,0.0,False
CrSeTe,5d9d3ded04de,P3m1 (156),0.111,0.59,C,G->M,0.003,0.389,False
CrSeTe,5d9d3ded04de,P3m1 (156),0.111,0.59,C,G->K,0.042,0.292,False
PbCl2,f9d58a299674,P-4m2 (115),0.142,2.165,V,G->M,0.004,0.0,False
PbCl2,f9d58a299674,P-4m2 (115),0.142,2.165,V,G->X,0.025,0.715,False
AsClTe,fba4cc0df459,P3m1 (156),0.194,1.316,V,M->G,0.019,0.856,False
AsClTe,fba4cc0df459,P3m1 (156),0.194,1.316,C,M->G,0.016,0.242,False
MoSeTe,42eb12e7b656,P3m1 (156),0.025,1.159,V,M->G,0.009,0.84,False
MoSeTe,42eb12e7b656,P3m1 (156),0.025,1.159,C,G->M,0.018,0.332,False
MoSeTe,42eb12e7b656,P3m1 (156),0.025,1.159,C,G->K,0.028,0.122,False
BaF2,4b7403281822,P-4m2 (115),0.375,5.659,V,X->G,0.002,0.017,False
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,C,G->M,0.002,0.314,False
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,C,G->K,0.076,0.315,False
SSn,f98da23471a1,P3m1 (156),0.118,2.3,V,M->G,0.01,0.028,False
SSn,f98da23471a1,P3m1 (156),0.118,2.3,C,M->K,0.084,0.287,False
InN,8cf70870bc5b,P-6m2 (187),0.482,0.606,V,G->K,0.01,1.186,False
In2S2,172ef584c4a6,P-6m2 (187),0.0,1.684,C,M->K,0.052,1.091,False
BrSbSe,c2a344b393f0,P3m1 (156),0.124,1.467,V,G->M,0.01,0.138,False
BrSbSe,c2a344b393f0,P3m1 (156),0.124,1.467,V,G->K,0.123,0.0,False
BrSbSe,c2a344b393f0,P3m1 (156),0.124,1.467,C,M->K,0.084,0.297,False
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,C,G->Y,0.011,3.873,False
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,C,Y->H,0.011,3.873,False
S2V2,605c732d5111,P-6m2 (187),0.534,0.209,C,M->K,0.029,0.0,False
S2V2,605c732d5111,P-6m2 (187),0.534,0.209,C,G->K,0.022,0.007,False
HfS2,3d4bfe131291,P-4m2 (115),0.333,2.11,V,X->M,0.012,0.671,False
HfS2,3d4bfe131291,P-4m2 (115),0.333,2.11,C,M->G,0.119,0.0,False
