candidate,r2,mae,delta_r2
bwdf_z_mean_r,0.6137581662093541,0.4272570286037946,-0.029624577510074857
bwdf_z_std_r,0.6122487099578393,0.43091598184180985,-0.03113403376158963
bwdf_z_first_peak_r,0.608993599530298,0.435460791645628,-0.03438914418913097
bwdf_z_max_r,0.6074685314299975,0.4419555763909311,-0.03591421228943148
bwdf_chi_first_peak_r,0.604721754166544,0.4402693749148436,-0.038660989552884995
asi_chi_z_mean,0.6035964465992072,0.44400580031462383,-0.03978629712022175
bwdf_chi_max_r,0.6019623627987982,0.4339996492116138,-0.04142038092063072
bwdf_chi_std_r,0.6004659411989148,0.4433791656156983,-0.04291680252051411
bwdf_z_max_val,0.6003425435862864,0.4335102115737068,-0.04304020013314258
bwdf_z_total,0.5990952190768406,0.4376505728779416,-0.04428752464258834
bwdf_chi_kurt,0.5978992785988313,0.43296288429607044,-0.045483465120597644
asi_chi_std,0.5949671053297629,0.4460383996096524,-0.048415638389666005
asi_chi_z_abs_mean,0.593390887761154,0.4401738401326266,-0.04999185595827493
bwdf_z_kurt,0.5884946643940072,0.4409070477437491,-0.054888079325421724
bwdf_chi_mean_r,0.5853187667891101,0.4447125732730133,-0.05806397693031884
asi_z_z_max,0.5848090498257291,0.45220909233285916,-0.05857369389369982
bwdf_chi_total,0.5846493014007209,0.4301654225359059,-0.05873344231870803
asi_z_max,0.5843195356263853,0.4545673463946641,-0.05906320809304366
asi_chi_mean,0.5827586316804614,0.45002957673024646,-0.06062411203896756
bwdf_chi_max_val,0.5812834996069105,0.4394965713096387,-0.06209924411251844
asi_chi_max,0.5801503713379828,0.4347629945061423,-0.06323237238144619
asi_z_std,0.5747154510737078,0.45349900014472727,-0.06866729264572113
asi_chi_z_max,0.5743555459604879,0.441270653093704,-0.06902719775894106
bwdf_z_skew,0.5737995225681738,0.4536003534143621,-0.06958322115125515
asi_z_z_mean,0.5716061283077687,0.4408050581228853,-0.07177661541166025
bwdf_chi_skew,0.5681952917814302,0.45973680659496424,-0.0751874519379987
asi_z_z_abs_mean,0.5663958481799396,0.45144669540963994,-0.07698689553948934
asi_z_mean,0.5660059990066744,0.4607309933720213,-0.07737674471275457
