cand_1,cand_2,r2,mae,delta_r2
bwdf_z_mean_r,bwdf_chi_max_r,0.6067841055282628,0.4274166517209525,-0.036598638191166155
bwdf_z_std_r,bwdf_z_max_val,0.606108335289848,0.45033857816156714,-0.03727440842958096
bwdf_z_std_r,bwdf_z_max_r,0.605499094056039,0.44992694453518806,-0.03788364966338997
bwdf_z_mean_r,bwdf_z_std_r,0.6004488333930811,0.43005382458368935,-0.04293391032634786
bwdf_z_max_r,bwdf_chi_max_r,0.6000841143120275,0.44104939498323387,-0.04329862940740148
bwdf_z_std_r,bwdf_z_first_peak_r,0.5988879584722568,0.45312797398037374,-0.0444947852471721
bwdf_z_first_peak_r,bwdf_chi_std_r,0.5972826448226871,0.4473832170553882,-0.046100098896741826
bwdf_z_std_r,bwdf_chi_max_r,0.5970875820542276,0.44142790828088313,-0.04629516166520131
bwdf_z_std_r,bwdf_chi_first_peak_r,0.5956561077317941,0.4435023954805701,-0.047726635987634825
bwdf_z_first_peak_r,bwdf_z_max_r,0.5940178720918958,0.45699033580163506,-0.04936487162753311
bwdf_chi_std_r,bwdf_z_max_val,0.5893636562648039,0.44143684199843747,-0.054019087454625025
asi_chi_z_mean,bwdf_chi_max_r,0.5889548862797063,0.44277379902926356,-0.05442785743972267
bwdf_z_std_r,bwdf_z_total,0.5885989957896153,0.45063576595710986,-0.054783747929813664
bwdf_z_max_r,bwdf_chi_first_peak_r,0.5863076863080245,0.4579797306542445,-0.057075057411404395
bwdf_z_max_r,bwdf_chi_std_r,0.5862036218334836,0.44808771556314797,-0.057179121885945317
bwdf_chi_std_r,bwdf_chi_kurt,0.5849693188254501,0.45017525988877416,-0.05841342489397883
bwdf_z_std_r,bwdf_z_kurt,0.5849349575033677,0.45696950710181033,-0.05844778621606128
bwdf_chi_first_peak_r,bwdf_chi_max_r,0.5847827475116667,0.45040083463264236,-0.05859999620776224
bwdf_z_mean_r,bwdf_chi_std_r,0.5843542771471247,0.44798095316357084,-0.059028466572304206
bwdf_chi_first_peak_r,bwdf_chi_std_r,0.5839956232080294,0.4535889151794742,-0.059387120511399494
bwdf_z_first_peak_r,bwdf_chi_max_r,0.5836325034940644,0.45414229064035905,-0.05975024022536457
bwdf_chi_std_r,bwdf_z_total,0.5835024473450084,0.4509751731458337,-0.059880296374420494
bwdf_z_first_peak_r,asi_chi_std,0.5830171235706876,0.4642547385861175,-0.06036562014874136
bwdf_chi_max_r,bwdf_chi_std_r,0.5829690588766552,0.4531703917859781,-0.06041368484277376
bwdf_z_first_peak_r,asi_chi_z_mean,0.582051186565933,0.4606346681960906,-0.06133155715349592
bwdf_z_std_r,bwdf_chi_kurt,0.5796065540219666,0.4615030465415029,-0.06377618969746235
bwdf_z_std_r,bwdf_chi_std_r,0.5791420752962172,0.45828094965038874,-0.06424066842321174
bwdf_z_std_r,asi_chi_z_mean,0.5787244187818992,0.4520730860642712,-0.06465832493752977
bwdf_z_first_peak_r,bwdf_chi_kurt,0.5786873698508078,0.4596130127232484,-0.06469537386862112
bwdf_z_first_peak_r,bwdf_z_max_val,0.578278518924616,0.4608976738814152,-0.06510422479481293
bwdf_z_std_r,asi_chi_mean,0.5782342800655733,0.4579712437571901,-0.06514846365385563
bwdf_z_first_peak_r,bwdf_z_total,0.5775587383799374,0.4599965166323113,-0.06582400533949151
asi_chi_z_mean,bwdf_z_max_val,0.5768527651333744,0.45236250937587086,-0.06652997858605458
bwdf_z_std_r,asi_chi_std,0.5766069963834741,0.45451846439188176,-0.06677574733595482
bwdf_z_first_peak_r,bwdf_chi_first_peak_r,0.5761866185880489,0.46640278998769896,-0.06719612513138007
bwdf_z_mean_r,bwdf_z_max_val,0.5759582484018748,0.45023783750726715,-0.06742449531755412
bwdf_chi_max_r,bwdf_z_total,0.5753429233671754,0.44609604130369246,-0.06803982035225353
bwdf_z_mean_r,asi_chi_z_mean,0.5747645522116864,0.458133298035824,-0.06861819150774251
bwdf_z_std_r,asi_z_max,0.5743649510833206,0.4648235223461883,-0.0690177926361083
