uid,Formula,Rashba_parameter,material,y_pred,residual,abs_error
04fdd7d1ec5c,ClSbTe,1.018,ClSbTe,1.216855,-0.19885504913330077,0.19885504913330077
05a06afa3b20,WMo3Se8,1.643,WMo3Se8,1.9136484,-0.27064836692810057,0.27064836692810057
0b7696e1f4c9,CrW3Se8,1.756,CrW3Se8,1.4604236,0.2955764112472534,0.2955764112472534
0c0fbdaf8f4a,ClSbSe,2.682,ClSbSe,2.6929286,-0.010928552627563537,0.010928552627563537
114b3382699c,AsITe,0.579,AsITe,1.2597796,-0.6807795724868775,0.6807795724868775
11db0908d9ef,BiBrSe,0.393,BiBrSe,0.8059519,-0.41295189332962035,0.41295189332962035
159f028a85d0,CrMo3Te8,0.896,CrMo3Te8,1.509076,-0.6130759992599487,0.6130759992599487
1667d1443160,TiHf3Te8,1.512,TiHf3Te8,1.6120145,-0.10001453208923339,0.10001453208923339
18e377cce57f,Ti2Zr2Te8,1.855,Ti2Zr2Te8,1.3900627,0.464937310218811,0.464937310218811
18e62ba75259,BrSbTe,2.631,BrSbTe,2.6188812,0.012118774414062283,0.012118774414062283
1a3bdd1b142a,HgTe,0.618,HgTe,1.4071904,-0.7891904420852661,0.7891904420852661
20f098bd3f31,O2Pb2,1.914,O2Pb2,1.8701859,0.043814147949218674,0.043814147949218674
211bcb7f05d6,GeSe,0.94,GeSe,1.3317342,-0.3917341804504395,0.3917341804504395
24d6cc0a0fed,MoW3Se8,2.097,MoW3Se8,1.6980377,0.39896225643157956,0.39896225643157956
287dcf4f1a19,Bi2P2S6,1.406,Bi2P2S6,2.1501303,-0.7441302719116212,0.7441302719116212
2d41b3dd1772,BiITe,2.086,BiITe,1.5385323,0.5474677429199217,0.5474677429199217
2ea941c8bc3c,MoSTe,2.525,MoSTe,1.576739,0.9482610464096068,0.9482610464096068
2f6f133abcc8,MoW3S8,2.241,MoW3S8,1.8902509,0.35074907875061045,0.35074907875061045
304bc6a92d82,BiBrTe,1.13,BiBrTe,1.4478115,-0.31781148433685313,0.31781148433685313
