cand_1,cand_2,r2,mae,delta_r2
sym_spacegroup_number,sym_crystal_system_id,0.5998983425580733,0.4444051243512318,-0.04348440116135566
sym_spacegroup_number,sym_n_symmetry_ops,0.5998955959549876,0.44468960287113385,-0.04348714776444129
sym_crystal_system_id,sym_n_atoms_total,0.5864505977884795,0.44600064052716654,-0.05693214593094942
sym_spacegroup_number,sym_n_mirror_planes,0.580621277709025,0.4530647991787304,-0.06276146601040389
sym_n_mirror_planes,sym_n_atoms_total,0.5802407186437879,0.4505333323334203,-0.06314202507564104
sym_n_mirror_planes,sym_crystal_system_id,0.5796291910714967,0.4516167625321282,-0.06375355264793225
sym_n_symmetry_ops,sym_n_atoms_total,0.5777477254179219,0.4511046928251633,-0.06563501830150709
sym_spacegroup_number,sym_n_atoms_total,0.5751636700477061,0.4540851708084646,-0.06821907367172286
sym_n_symmetry_ops,sym_n_mirror_planes,0.5739034601089765,0.4628513292591981,-0.06947928361045241
sym_n_symmetry_ops,sym_crystal_system_id,0.5731539789959335,0.4618503171410223,-0.07022876472349548
