sym_spacegroup_number,sym_crystal_system_id,sym_is_centrosymmetric,sym_n_symmetry_ops,sym_n_unique_sites,sym_n_atoms_total,sym_unique_per_total,sym_n_mirror_planes,sym_has_polar_axis,sym_pointgroup_str,sym_spacegroup_symbol,uid
156,5,0,6,3,3,1.0,3,1,3m,P3m1,001e03f2c095
31,3,0,4,2,4,0.5,2,1,mm2,Pmn2_1,03bcf7dcdaf2
156,5,0,6,3,3,1.0,3,1,3m,P3m1,04fdd7d1ec5c
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,05a06afa3b20
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,0b7696e1f4c9
156,5,0,6,3,3,1.0,3,1,3m,P3m1,0c0fbdaf8f4a
156,5,0,6,3,3,1.0,3,1,3m,P3m1,0f02957b17cf
156,5,0,6,3,3,1.0,3,1,3m,P3m1,114b3382699c
156,5,0,6,3,3,1.0,3,1,3m,P3m1,11db0908d9ef
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,159f028a85d0
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,1667d1443160
25,3,0,8,4,12,0.3333333333333333,4,1,mm2,Pmm2,18e377cce57f
156,5,0,6,3,3,1.0,3,1,3m,P3m1,18e62ba75259
156,5,0,6,2,2,1.0,3,1,3m,P3m1,1a3bdd1b142a
156,5,0,6,3,3,1.0,3,1,3m,P3m1,1a3be826b3e0
156,5,0,6,3,3,1.0,3,1,3m,P3m1,1dcd471c2288
25,3,0,4,3,4,0.75,2,1,mm2,Pmm2,20f098bd3f31
156,5,0,6,2,2,1.0,3,1,3m,P3m1,211bcb7f05d6
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,24d6cc0a0fed
1,1,0,1,10,10,1.0,0,1,1,P1,287dcf4f1a19
156,5,0,6,3,3,1.0,3,1,3m,P3m1,2d41b3dd1772
156,5,0,6,3,3,1.0,3,1,3m,P3m1,2ea941c8bc3c
25,3,0,4,6,12,0.5,2,1,mm2,Pmm2,2f6f133abcc8
156,5,0,6,3,3,1.0,3,1,3m,P3m1,304bc6a92d82
