candidate,r2,mae,delta_r2
janus_top_bot_meanZ,0.6444198098024025,0.4353881047325905,0.0010370660829736034
janus_n_layers,0.6277752235270486,0.4218279311440208,-0.01560752019238032
bs_VBM_at_gamma,0.6250215800041394,0.4323534083270063,-0.018361163715289508
bs_VBM_kdist_to_gamma,0.6122303346468475,0.43129250656956375,-0.031152409072581433
janus_top_bot_meanX,0.6117924390436559,0.43770453851391566,-0.03159030467577306
janus_z_dipole_X_abs,0.6088108279457389,0.4341958816701716,-0.03457191577369001
bs_CBM_at_gamma,0.6078454081087125,0.4305655249923167,-0.03553733561071648
janus_z_dipole_mass_abs,0.6038059114999812,0.4412454208701548,-0.039576832219447744
bs_CBM_kdist_to_gamma,0.6037071250437771,0.4402878915131694,-0.039675618675651836
janus_z_dipole_Z_abs,0.6007792184248129,0.4383089440519159,-0.042603525294616085
janus_z_std,0.5992035417000279,0.4442052864161405,-0.044179202019401065
janus_top_bot_meanZ_abs,0.5991148457738693,0.44781116412384336,-0.04426789794555963
janus_top_bot_meanX_abs,0.5968731691181111,0.4453778030607436,-0.04650957460131788
bs_m_eff_ratio,0.5879085241730135,0.4497481050491333,-0.055474219546415404
janus_z_dipole_X,0.5874124448894991,0.4448299273433107,-0.055970298829929876
bs_band_gap_at_CBM_kpt,0.586409721559356,0.4420974906767257,-0.05697302216007294
bs_band_gap_at_VBM_kpt,0.5832573651043718,0.44515368156722096,-0.06012537861505718
bs_VBM_curvature,0.5817590436955663,0.432368841802231,-0.06162370002386264
janus_z_range,0.5814475223558733,0.4463085558920196,-0.06193522136355567
bs_CBM_curvature,0.580766460722107,0.4342169457926895,-0.06261628299732191
bs_m_eff_VBM,0.5798485247885198,0.4337486535419117,-0.06353421893090916
bs_m_eff_CBM,0.5779261941849186,0.4369349380984451,-0.0654565495345103
janus_z_dipole_mass,0.5702148266918422,0.4615455435406078,-0.07316791702758674
janus_z_dipole_Z,0.5635051186145575,0.4599913409888142,-0.0798776251048714
