cand_1,cand_2,r2,mae,delta_r2
janus_top_bot_meanZ,janus_n_layers,0.6215348715258295,0.4535970178421098,-0.021847872193599405
janus_top_bot_meanZ,bs_VBM_at_gamma,0.6142588695334363,0.4560696571523493,-0.029123874185992604
janus_top_bot_meanZ,bs_VBM_kdist_to_gamma,0.6114937307158345,0.45287298992426717,-0.03188901300359448
janus_n_layers,bs_VBM_kdist_to_gamma,0.6066873306921736,0.4431973372469044,-0.03669541302725532
janus_top_bot_meanZ,janus_top_bot_meanX,0.6027963200004159,0.45162164758431783,-0.040586423719013
bs_VBM_at_gamma,bs_VBM_kdist_to_gamma,0.5991121437994511,0.4599521227123762,-0.04427059991997784
janus_n_layers,janus_top_bot_meanX,0.5924489506984243,0.45224495972527395,-0.05093379302100465
bs_VBM_at_gamma,janus_top_bot_meanX,0.5900783659745927,0.4546243361270789,-0.05330437774483621
janus_n_layers,bs_VBM_at_gamma,0.5871390732603137,0.45624130306821875,-0.05624367045911527
bs_VBM_kdist_to_gamma,janus_top_bot_meanX,0.5862112064303369,0.46055962962333596,-0.05717153728909208
