uid,Formula,Rashba_parameter,y_pred_C6,y_pred_new,resid_C6,resid_new
001e03f2c095,SSeW,3.288,2.911323,2.5723183,0.37667692947387676,0.7156816844940184
03bcf7dcdaf2,Sn2Te2,4.804,3.5101354,3.4487789,1.2938645877838137,1.3552211322784427
04fdd7d1ec5c,ClSbTe,1.018,1.2254562,1.0905282,-0.20745623779296873,-0.07252824974060057
05a06afa3b20,WMo3Se8,1.643,1.7400715,1.8247211,-0.09707153511047362,-0.18172109794616698
0b7696e1f4c9,CrW3Se8,1.756,1.4524873,1.4984068,0.30351265048980713,0.2575932321548462
0c0fbdaf8f4a,ClSbSe,2.682,3.1258786,2.9351335,-0.4438785724639893,-0.25313345718383795
0f02957b17cf,ISbTe,3.658,2.7057395,2.991918,0.9522605018615722,0.6660819129943847
114b3382699c,AsITe,0.579,1.1773546,1.2673839,-0.5983545742034913,-0.6883839330673218
11db0908d9ef,BiBrSe,0.393,0.948941,0.8834274,-0.5559409923553467,-0.4904273815155029
159f028a85d0,CrMo3Te8,0.896,1.5444546,1.7409548,-0.6484545745849609,-0.8449547567367554
1667d1443160,TiHf3Te8,1.512,2.278903,1.9962773,-0.7669030075073242,-0.4842773323059082
18e377cce57f,Ti2Zr2Te8,1.855,1.6691984,1.8539298,0.18580160617828367,0.0010702419281005682
18e62ba75259,BrSbTe,2.631,3.2279131,3.0051558,-0.5969131412506106,-0.3741558017730715
1a3bdd1b142a,HgTe,0.618,1.7579606,1.665434,-1.1399605579376222,-1.0474340028762819
1a3be826b3e0,AsClSe,3.717,3.3892143,3.1695833,0.327785722732544,0.5474166793823243
1dcd471c2288,AsBrS,3.109,2.8110802,2.9091992,0.2979197826385498,0.19980076217651366
20f098bd3f31,O2Pb2,1.914,1.9061238,1.7534528,0.007876242637634201,0.1605472221374511
211bcb7f05d6,GeSe,0.94,1.8555757,1.6776077,-0.9155756807327271,-0.7376076555252076
24d6cc0a0fed,MoW3Se8,2.097,1.6625233,1.5541736,0.43447673034667966,0.5428264112472534
287dcf4f1a19,Bi2P2S6,1.406,2.4393055,2.4082007,-1.0333055438995362,-1.002200740814209
2d41b3dd1772,BiITe,2.086,1.684129,1.4830966,0.40187100028991685,0.6029034004211424
2ea941c8bc3c,MoSTe,2.525,2.4724615,2.6004715,0.05253853797912589,-0.07547149658203134
2f6f133abcc8,MoW3S8,2.241,2.122695,2.1084135,0.11830503082275401,0.1325865421295167
304bc6a92d82,BiBrTe,1.13,1.5873814,1.5706159,-0.45738136291503917,-0.44061588764190684
323fb700d903,WMo3Te8,1.501,1.6307373,1.5060738,-0.1297373046875001,-0.005073832511901966
343d2125478e,ISbSe,1.17,1.1047385,1.3679876,0.06526152610778801,-0.19798763275146491
3995fa1bee6e,Pb2Te6,3.064,1.7162726,2.120999,1.3477274074554444,0.9430009021759034
3bc08d486d65,PbTe,2.18,1.4213966,1.3402125,0.7586033868789674,0.8397875356674196
3e1923c616ad,TiHf3Se8,1.256,1.4443749,1.2279427,-0.1883749189376831,0.02805729484558106
