cand_1,cand_2,cand_3,r2,mae,delta_r2
el_Rpp_d_max,el_Rpp_d_range,el_EA_std,0.6305338321225036,0.4506251370015771,-0.012848911596925361
el_Rpp_d_max,el_Rpp_d_range,el_Rpp_d_std,0.6287535173209209,0.45314599111345083,-0.014629226398508055
el_Rpp_d_range,el_Rpp_d_std,el_IEII_min,0.6249096077476036,0.4451883497960639,-0.018473135971825316
el_Rpp_d_max,el_Rpp_d_std,el_IEII_min,0.6226481776480204,0.4438874336733963,-0.020734566071408556
el_Rpp_d_max,el_Rpp_d_range,el_IEII_min,0.6212652447119884,0.4453044160207113,-0.022117499007440533
el_EA_std,el_Rpp_d_std,el_IEII_min,0.6210012738119175,0.45677848582797587,-0.022381469907511442
el_Rpp_d_max,el_EA_std,el_Rpp_d_std,0.6208229550186986,0.4558553821631153,-0.022559788700730388
el_Rpp_d_range,el_EA_std,el_IEII_min,0.6185427882705357,0.4482311258701363,-0.02483995544889328
el_Rpp_d_max,el_EA_std,el_IEII_min,0.6119574777836738,0.45176018481784397,-0.03142526593575512
el_Rpp_d_range,el_EA_std,el_Rpp_d_std,0.6060284156431504,0.4560128558284105,-0.03735432807627859
