Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
HgS,5256ed7d716e,P3m1 (156),0.146,0.056,V,K,0.073,0.423
HgS,5256ed7d716e,P3m1 (156),0.146,0.056,C,K,0.047,3.733
HgO,a8678fa85c38,P-6m2 (187),0.211,0.298,V,K,0.116,0.621
HgO,a8678fa85c38,P-6m2 (187),0.211,0.298,C,K,0.013,3.96
CSiH2,8a1587098151,P3m1 (156),0.0,4.008,C,K,0.002,1.268
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,V,K,0.149,0.414
ISbSe,df0019ec24b5,P3m1 (156),0.0,1.061,C,K,0.043,1.74
BrSbTe,f1e78a09001d,P3m1 (156),0.13,1.331,V,K,0.078,0.586
BrSbTe,f1e78a09001d,P3m1 (156),0.13,1.331,C,K,0.009,0.0
BrSbTe,18e62ba75259,P3m1 (156),0.0,1.089,V,K,0.04,0.439
BrSbTe,18e62ba75259,P3m1 (156),0.0,1.089,C,K,0.177,1.38
ClSbSe,f705a30af945,P3m1 (156),0.146,1.68,V,K,0.118,0.433
ClSbSe,f705a30af945,P3m1 (156),0.146,1.68,C,K,0.115,0.037
BaCl2,54ec344f88a7,P-6m2 (187),0.241,4.736,V,K,0.003,0.09
BaCl2,54ec344f88a7,P-6m2 (187),0.241,4.736,C,K,0.018,0.08
PbS2,372c217dd52f,P-6m2 (187),0.191,1.708,V,K,0.031,0.419
PbS2,372c217dd52f,P-6m2 (187),0.191,1.708,C,K,0.73,0.636
SSeW,001e03f2c095,P3m1 (156),0.01,1.417,V,K,0.445,0.0
SSeW,001e03f2c095,P3m1 (156),0.01,1.417,C,K,0.03,0.0
MgCl2,e73a5c5ae5ac,P-6m2 (187),0.19,4.759,C,K,0.018,1.548
CaCl2,3ca106221b9b,P-6m2 (187),0.164,4.784,C,K,0.012,0.402
ClITi,ae06e7424bb1,P3m1 (156),0.115,0.746,V,K,0.063,0.0
ClITi,ae06e7424bb1,P3m1 (156),0.115,0.746,C,K,0.019,0.098
SnBr2,8d365ca62c55,P-6m2 (187),0.086,2.514,V,K,0.212,0.042
SnBr2,8d365ca62c55,P-6m2 (187),0.086,2.514,C,K,0.087,0.019
BiBrTe,f4f45fcade85,P3m1 (156),0.117,0.916,V,K,0.065,0.718
BiBrTe,f4f45fcade85,P3m1 (156),0.117,0.916,C,K,0.496,0.314
CdBr2,a7bb757c6234,P-6m2 (187),0.121,2.377,V,K,0.022,0.244
CdBr2,a7bb757c6234,P-6m2 (187),0.121,2.377,C,K,0.155,1.122
Al2O2,bce0ccee4eca,P-6m2 (187),0.237,1.324,V,K,0.003,0.0
Al2O2,bce0ccee4eca,P-6m2 (187),0.237,1.324,C,K,0.001,0.22
HfO2,512afaae525a,P-6m2 (187),0.77,1.903,V,K,0.018,0.22
HfO2,512afaae525a,P-6m2 (187),0.77,1.903,C,K,0.234,0.04
MoSSe,de7ac5fc6945,P3m1 (156),0.009,1.474,V,K,0.168,0.0
MoSSe,de7ac5fc6945,P3m1 (156),0.009,1.474,C,K,0.013,0.0
